model,backbone_ms,action_head_ms,total_ms
groot,288.311,57.020,345.331
groot,24.031,45.709,69.739
groot,23.757,45.122,68.879
groot,23.675,45.243,68.918
groot,23.684,45.155,68.839
groot,23.768,45.281,69.049
groot,23.664,45.114,68.778
groot,23.573,47.345,70.918
groot,23.742,45.163,68.905
groot,23.707,45.149,68.857
groot,23.673,45.160,68.833
groot,26.582,44.534,71.116
groot,23.511,44.600,68.111
groot,23.647,45.176,68.823
groot,23.534,45.135,68.669
groot,23.501,45.234,68.735
groot,23.624,45.185,68.808
groot,23.586,45.162,68.748
groot,23.636,45.146,68.782
groot,23.616,45.193,68.809
groot,24.281,45.215,69.496
groot,23.839,45.171,69.009
groot,23.653,45.156,68.809
groot,23.774,45.241,69.015
groot,23.983,45.144,69.127
groot,23.741,45.169,68.910
groot,23.634,45.142,68.776
groot,23.668,45.161,68.830
groot,23.585,45.801,69.386
groot,23.635,45.180,68.815
groot,23.773,45.168,68.940
groot,23.652,45.237,68.889
groot,23.854,45.196,69.049
groot,23.674,45.182,68.856
groot,23.521,45.114,68.636
groot,23.976,45.196,69.173
groot,23.641,45.204,68.845
groot,23.839,45.145,68.984
groot,23.912,45.117,69.029
groot,23.619,45.221,68.840
groot,23.685,45.204,68.888
groot,23.687,45.160,68.847
groot,35.152,45.169,80.321
groot,23.694,45.201,68.896
groot,23.754,45.225,68.979
groot,23.691,45.165,68.856
groot,23.594,45.167,68.762
groot,23.602,45.186,68.788
groot,23.671,45.180,68.851
groot,23.606,45.208,68.814
groot,23.799,45.116,68.916
groot,23.824,45.197,69.021
groot,23.586,45.184,68.770
groot,23.774,45.159,68.933
groot,23.747,45.114,68.861
groot,23.718,45.214,68.932
groot,23.607,45.224,68.831
groot,23.366,44.192,67.559
groot,23.697,45.186,68.883
groot,23.566,45.218,68.784
groot,23.631,45.822,69.453
groot,23.623,45.196,68.818
groot,23.545,45.150,68.695
groot,23.629,45.231,68.860
groot,23.615,45.185,68.800
groot,31.428,43.618,75.046
groot,22.930,43.677,66.607
groot,23.034,44.234,67.268
groot,23.585,45.163,68.748
groot,23.565,45.194,68.759
groot,23.622,45.171,68.793
groot,23.693,45.211,68.904
groot,23.833,45.187,69.020
groot,23.678,45.203,68.880
groot,22.809,43.389,66.197
groot,22.929,43.472,66.401
groot,22.803,43.454,66.257
groot,23.586,45.244,68.830
groot,23.716,45.175,68.891
groot,23.610,45.221,68.831
groot,22.977,43.463,66.440
groot,22.802,43.434,66.236
groot,22.804,43.419,66.223
groot,23.653,45.276,68.928
groot,23.639,45.204,68.843
groot,23.594,45.176,68.770
groot,23.658,45.128,68.785
groot,23.314,43.419,66.733
groot,22.759,43.458,66.217
groot,22.806,43.458,66.264
groot,23.635,45.170,68.805
groot,23.672,45.220,68.892
groot,23.612,45.224,68.836
groot,23.853,45.171,69.023
groot,23.680,45.135,68.815
groot,23.633,45.220,68.853
groot,23.673,45.209,68.882
groot,23.964,45.137,69.101
groot,24.267,45.144,69.411
groot,23.585,45.197,68.782
groot,23.687,45.178,68.865
groot,23.581,45.158,68.739
groot,23.722,45.164,68.886
groot,23.651,45.248,68.899
groot,23.683,45.697,69.381
groot,23.653,45.150,68.804
groot,24.743,45.171,69.914
groot,23.677,45.226,68.903
groot,23.549,45.178,68.727
groot,23.818,45.183,69.001
groot,23.672,45.107,68.780
groot,23.622,45.199,68.820
groot,27.015,45.188,72.202
groot,23.579,45.190,68.769
groot,23.685,45.184,68.869
groot,24.691,45.210,69.901
groot,23.666,45.442,69.108
groot,23.632,45.160,68.791
groot,23.683,45.130,68.813
groot,23.746,45.225,68.971
groot,23.857,45.736,69.593
groot,24.720,45.178,69.897
groot,23.902,45.123,69.025
groot,23.541,45.190,68.732
groot,23.596,45.222,68.818
groot,23.624,45.175,68.799
groot,23.641,45.158,68.799
groot,23.690,45.190,68.881
groot,23.613,45.168,68.781
groot,23.763,45.160,68.923
groot,23.628,45.745,69.373
groot,23.599,45.197,68.796
groot,23.692,45.197,68.888
groot,23.596,45.180,68.776
groot,23.892,45.151,69.043
groot,23.760,45.219,68.979
groot,29.416,45.291,74.707
groot,23.687,45.217,68.904
groot,23.676,45.196,68.872
groot,23.819,45.175,68.994
groot,23.631,45.187,68.817
groot,24.181,45.240,69.421
groot,23.668,45.207,68.874
groot,23.630,45.168,68.799
groot,23.746,45.219,68.966
groot,23.620,45.190,68.810
groot,23.746,45.232,68.978
groot,24.033,45.306,69.339
groot,23.730,45.239,68.969
groot,23.677,45.202,68.879
groot,23.623,45.185,68.808
groot,23.711,45.305,69.016
groot,23.806,45.256,69.062
groot,23.632,45.213,68.845
groot,23.731,45.232,68.963
groot,24.285,45.214,69.499
groot,23.835,45.197,69.032
groot,23.760,45.214,68.974
groot,23.627,45.215,68.841
groot,23.685,45.209,68.895
groot,23.757,45.223,68.979
groot,23.646,45.191,68.837
groot,23.660,45.253,68.913
groot,23.637,45.247,68.884
groot,23.950,45.227,69.178
groot,24.381,45.234,69.615
groot,23.766,45.192,68.958
groot,23.470,43.467,66.937
groot,22.910,43.456,66.366
groot,22.905,43.494,66.399
groot,23.851,45.214,69.065
groot,23.726,45.169,68.895
groot,23.698,45.222,68.920
groot,23.678,45.182,68.860
groot,23.038,43.455,66.493
groot,22.895,43.571,66.466
groot,22.913,43.432,66.345
groot,23.678,45.206,68.884
groot,24.089,45.217,69.306
groot,23.590,45.196,68.786
groot,23.740,45.239,68.979
groot,23.732,45.192,68.923
groot,23.595,45.246,68.841
groot,23.600,45.209,68.809
groot,23.681,45.264,68.945
groot,23.634,45.225,68.859
groot,23.613,45.260,68.873
groot,24.194,45.194,69.388
groot,23.719,45.206,68.925
groot,23.657,45.192,68.850
groot,23.726,45.186,68.913
groot,23.687,45.214,68.901
groot,23.719,45.244,68.963
groot,22.914,43.468,66.382
groot,22.902,43.483,66.385
groot,22.898,43.447,66.345
groot,24.200,45.202,69.402
groot,23.593,45.184,68.777
groot,24.207,45.231,69.438
groot,23.755,45.204,68.959
groot,22.807,43.470,66.277
groot,22.795,43.474,66.269
groot,23.364,43.910,67.274
groot,23.725,45.199,68.925
groot,23.713,45.306,69.018
groot,23.827,45.301,69.127
groot,23.823,45.002,68.825
groot,23.646,44.925,68.570
groot,23.652,44.982,68.634
groot,23.757,44.920,68.677
groot,23.887,44.970,68.857
groot,23.847,44.929,68.776
groot,23.786,44.939,68.725
groot,23.739,44.960,68.700
groot,23.741,44.943,68.685
groot,23.707,44.934,68.641
groot,23.803,44.979,68.782
groot,23.674,44.924,68.598
groot,23.708,44.973,68.681
groot,23.708,44.966,68.673
groot,23.632,44.934,68.567
groot,29.043,44.968,74.010
groot,23.743,44.910,68.653
groot,23.711,44.932,68.643
groot,23.741,45.011,68.752
groot,24.311,44.926,69.237
groot,23.716,44.990,68.706
groot,27.309,51.642,78.950
groot,22.915,43.252,66.167
groot,22.841,43.175,66.017
groot,22.861,43.220,66.080
groot,23.738,45.227,68.965
groot,23.617,45.205,68.822
groot,23.636,45.183,68.819
groot,23.675,45.190,68.865
groot,23.654,45.258,68.912
groot,23.614,45.258,68.872
groot,23.809,45.215,69.023
groot,23.759,45.222,68.981
groot,23.682,45.262,68.944
groot,23.907,45.252,69.160
groot,23.695,45.191,68.886
groot,23.741,45.279,69.019
groot,24.490,45.353,69.844
groot,22.967,43.475,66.442
groot,22.859,43.436,66.295
groot,22.919,43.472,66.391
groot,24.018,45.217,69.236
groot,24.593,45.245,69.838
groot,23.670,45.212,68.883
groot,23.473,44.759,68.232
groot,23.366,44.721,68.086
groot,24.527,45.186,69.713
groot,23.664,45.192,68.856
groot,23.820,45.254,69.074
groot,23.663,45.201,68.864
groot,23.077,43.673,66.750
groot,23.833,45.256,69.089
groot,23.697,45.253,68.950
groot,23.712,45.231,68.943
groot,25.853,45.260,71.113
groot,23.632,45.255,68.887
groot,22.997,43.454,66.451
groot,22.829,43.431,66.260
groot,23.738,45.260,68.998
groot,23.660,45.200,68.860
groot,23.693,45.210,68.903
groot,23.664,45.342,69.006
groot,23.760,45.238,68.998
groot,23.674,45.169,68.843
groot,24.327,45.178,69.505
groot,23.735,45.171,68.906
groot,23.577,45.206,68.783
groot,23.845,45.198,69.043
groot,23.678,45.181,68.859
groot,23.779,45.290,69.070
groot,23.781,45.224,69.005
groot,23.672,45.238,68.909
groot,23.842,45.223,69.065
groot,23.608,45.222,68.829
groot,23.685,45.176,68.861
groot,23.692,45.316,69.008
groot,23.653,45.181,68.835
groot,23.807,45.216,69.023
groot,23.806,45.359,69.164
groot,23.771,45.180,68.950
groot,23.705,45.228,68.933
groot,23.690,45.281,68.971
groot,23.743,45.257,69.000
groot,23.788,45.172,68.961
groot,22.944,43.498,66.442
groot,25.577,45.250,70.827
groot,23.650,45.274,68.923
groot,24.618,45.217,69.835
groot,23.729,45.224,68.953
groot,23.683,45.347,69.030
groot,23.666,45.212,68.878
groot,23.736,45.209,68.945
groot,23.652,45.979,69.631
groot,23.803,45.206,69.009
groot,23.717,45.210,68.927
groot,23.800,45.176,68.976
groot,24.764,45.157,69.920
groot,23.661,45.188,68.849
groot,23.650,45.206,68.857
groot,23.790,45.158,68.947
groot,23.904,45.211,69.115
groot,23.674,45.268,68.942
groot,23.542,45.203,68.746
groot,23.666,45.188,68.855
groot,23.744,45.176,68.919
groot,23.645,45.221,68.866
groot,26.352,45.130,71.481
groot,23.799,45.465,69.264
groot,24.050,45.182,69.232
groot,23.618,45.189,68.807
groot,23.786,45.250,69.036
groot,23.720,45.284,69.005
groot,23.650,45.228,68.877
groot,24.081,45.167,69.248
groot,26.548,45.109,71.658
groot,23.662,45.191,68.853
groot,23.633,45.162,68.794
groot,24.802,45.160,69.962
groot,23.805,45.202,69.007
groot,23.663,45.159,68.821
groot,23.543,45.202,68.745
groot,23.664,45.216,68.880
groot,23.628,45.136,68.765
groot,23.813,45.219,69.032
groot,23.691,45.227,68.917
groot,23.819,45.213,69.032
groot,23.671,45.142,68.813
groot,23.692,45.202,68.894
groot,23.716,45.256,68.973
groot,23.810,45.228,69.038
groot,25.212,45.105,70.317
groot,23.575,45.314,68.890
groot,23.529,45.995,69.525
groot,23.615,45.172,68.786
groot,23.662,45.166,68.828
groot,23.648,45.240,68.888
groot,23.613,45.162,68.775
groot,23.614,45.152,68.766
groot,23.669,45.174,68.843
groot,23.696,45.166,68.862
groot,23.731,45.160,68.891
groot,23.651,45.178,68.829
