model,backbone_ms,action_head_ms,total_ms
groot,347.191,56.469,403.660
groot,23.563,50.666,74.229
groot,23.062,43.751,66.814
groot,24.108,44.925,69.033
groot,23.609,44.889,68.498
groot,23.622,44.808,68.430
groot,23.547,44.822,68.369
groot,23.540,44.882,68.422
groot,23.628,44.844,68.471
groot,23.736,44.813,68.549
groot,23.645,44.819,68.464
groot,23.700,44.852,68.552
groot,23.722,44.865,68.587
groot,28.255,53.995,82.250
groot,22.658,43.499,66.158
groot,22.718,43.641,66.359
groot,26.954,51.504,78.459
groot,23.986,43.295,67.281
groot,23.806,45.101,68.906
groot,24.470,45.090,69.561
groot,23.671,45.085,68.756
groot,23.909,45.072,68.981
groot,23.575,45.071,68.645
groot,24.542,46.965,71.507
groot,23.615,45.600,69.216
groot,23.825,45.091,68.915
groot,23.639,45.100,68.739
groot,23.881,45.796,69.677
groot,23.979,45.121,69.100
groot,23.629,45.788,69.417
groot,23.602,45.077,68.678
groot,23.509,45.131,68.641
groot,23.792,45.140,68.933
groot,23.546,45.050,68.596
groot,23.552,45.065,68.617
groot,24.248,45.093,69.342
groot,23.691,45.118,68.810
groot,26.043,51.042,77.085
groot,22.843,43.935,66.778
groot,22.746,43.323,66.068
groot,23.677,45.160,68.837
groot,23.574,45.130,68.705
groot,23.540,45.089,68.629
groot,23.772,45.136,68.908
groot,23.629,45.149,68.778
groot,23.739,45.081,68.820
groot,23.718,45.081,68.798
groot,23.604,45.107,68.710
groot,23.585,45.108,68.693
groot,24.023,45.082,69.104
groot,23.574,45.111,68.685
groot,23.543,45.131,68.674
groot,23.605,45.071,68.677
groot,24.603,45.063,69.666
groot,32.513,52.789,85.302
groot,27.395,48.941,76.336
groot,26.474,48.449,74.923
groot,28.080,53.908,81.988
groot,27.007,51.664,78.671
groot,22.816,43.396,66.212
groot,22.855,43.332,66.187
groot,22.822,45.719,68.540
groot,23.697,45.221,68.918
groot,23.636,45.101,68.737
groot,23.730,45.141,68.871
groot,23.675,45.086,68.761
groot,24.486,45.088,69.574
groot,23.559,45.085,68.644
groot,23.628,45.085,68.713
groot,23.701,45.111,68.812
groot,23.918,45.068,68.986
groot,23.891,45.095,68.986
groot,23.580,45.076,68.656
groot,23.672,45.131,68.803
groot,23.498,45.143,68.641
groot,23.715,45.090,68.805
groot,23.675,45.114,68.790
groot,23.688,45.790,69.478
groot,23.614,45.139,68.753
groot,23.542,45.083,68.625
groot,23.605,45.076,68.681
groot,23.611,45.120,68.730
groot,23.589,45.082,68.671
groot,23.512,45.181,68.693
groot,24.236,45.088,69.324
groot,23.530,45.092,68.622
groot,23.776,45.051,68.828
groot,23.660,45.088,68.748
groot,23.600,45.067,68.668
groot,23.557,45.093,68.650
groot,23.639,45.079,68.718
groot,23.542,45.081,68.623
groot,23.555,45.102,68.656
groot,23.690,45.080,68.770
groot,23.577,45.068,68.644
groot,23.572,45.121,68.694
groot,23.661,45.121,68.782
groot,23.567,45.077,68.645
groot,23.579,45.096,68.675
groot,23.525,45.088,68.613
groot,23.574,45.119,68.693
groot,23.635,45.078,68.713
groot,23.564,45.066,68.630
groot,23.518,45.921,69.439
groot,23.682,45.086,68.769
groot,23.573,45.088,68.661
groot,23.642,45.083,68.726
groot,23.571,45.083,68.654
groot,23.551,45.107,68.658
groot,24.357,45.128,69.485
groot,23.622,45.151,68.773
groot,23.573,45.082,68.655
groot,23.653,47.464,71.117
groot,23.719,45.110,68.829
groot,23.716,45.085,68.801
groot,23.567,45.186,68.752
groot,23.757,45.205,68.962
groot,23.524,45.078,68.602
groot,23.562,45.074,68.636
groot,23.542,45.098,68.640
groot,23.581,45.113,68.695
groot,23.601,45.101,68.702
groot,23.632,45.101,68.732
groot,23.725,45.102,68.827
groot,23.572,44.886,68.457
groot,23.555,44.835,68.390
groot,23.557,44.822,68.379
groot,23.528,44.890,68.417
groot,23.647,44.858,68.506
groot,23.596,44.833,68.429
groot,23.713,44.830,68.543
groot,23.598,44.864,68.461
groot,24.214,44.865,69.079
groot,23.658,44.878,68.536
groot,23.714,44.829,68.543
groot,23.780,44.943,68.723
groot,26.030,44.876,70.906
groot,23.628,44.828,68.455
groot,23.531,44.832,68.363
groot,24.515,44.812,69.326
groot,23.587,44.877,68.464
groot,23.518,44.836,68.354
groot,23.545,44.796,68.342
groot,23.592,44.858,68.450
groot,26.782,44.878,71.660
groot,23.685,44.852,68.537
groot,23.511,44.850,68.360
groot,23.583,44.828,68.412
groot,23.752,44.851,68.604
groot,23.904,44.847,68.751
groot,23.569,44.860,68.429
groot,23.550,44.834,68.384
groot,23.828,44.910,68.738
groot,23.490,44.857,68.347
groot,23.587,44.830,68.417
groot,23.550,44.863,68.413
groot,23.658,44.844,68.502
groot,23.543,44.847,68.390
groot,23.562,44.814,68.376
groot,23.533,44.880,68.413
groot,30.325,45.106,75.431
groot,23.521,45.136,68.657
groot,23.759,45.070,68.829
groot,23.635,45.111,68.746
groot,23.631,45.119,68.750
groot,23.637,45.085,68.722
groot,23.530,45.060,68.590
groot,23.616,45.165,68.781
groot,23.571,44.946,68.517
groot,23.535,45.127,68.662
groot,23.578,45.105,68.683
groot,23.536,45.106,68.642
groot,23.619,45.166,68.785
groot,23.629,45.051,68.680
groot,23.648,45.062,68.710
groot,23.753,45.110,68.863
groot,23.552,45.180,68.733
groot,23.611,45.052,68.663
groot,23.647,45.125,68.773
groot,23.478,45.128,68.606
groot,32.294,45.146,77.440
groot,23.466,45.121,68.587
groot,24.739,44.891,69.630
groot,23.645,44.850,68.495
groot,23.518,44.891,68.409
groot,23.543,44.915,68.458
groot,23.660,44.836,68.496
groot,23.544,44.850,68.394
groot,23.569,44.843,68.413
groot,23.688,44.826,68.514
groot,23.624,44.815,68.439
groot,23.684,44.841,68.525
groot,23.577,44.894,68.471
groot,23.466,45.731,69.197
groot,24.126,44.831,68.957
groot,23.473,44.828,68.301
groot,23.548,44.868,68.416
groot,23.606,44.797,68.402
groot,23.564,44.824,68.388
groot,23.665,44.880,68.545
groot,23.543,44.859,68.401
groot,23.593,45.906,69.498
groot,23.532,44.830,68.361
groot,23.463,44.851,68.314
groot,28.230,44.899,73.129
groot,23.485,44.793,68.278
groot,23.835,44.955,68.790
groot,24.882,44.844,69.726
groot,23.674,44.874,68.549
groot,23.613,44.855,68.468
