model,backbone_ms,action_head_ms,total_ms
drif_ov,219.867,17.989,237.856
drif_ov,23.552,4.866,28.418
drif_ov,23.635,4.821,28.456
drif_ov,23.525,4.856,28.381
drif_ov,23.488,4.891,28.379
drif_ov,23.586,4.883,28.469
drif_ov,23.587,4.861,28.448
drif_ov,23.626,5.007,28.633
drif_ov,23.433,4.858,28.291
drif_ov,23.389,4.867,28.257
drif_ov,23.514,4.863,28.377
drif_ov,23.672,4.931,28.603
drif_ov,23.472,4.820,28.292
drif_ov,34.801,5.016,39.817
drif_ov,23.576,4.888,28.464
drif_ov,24.240,4.873,29.113
drif_ov,26.009,5.341,31.351
drif_ov,23.541,4.888,28.428
drif_ov,23.642,4.961,28.603
drif_ov,23.573,4.844,28.417
drif_ov,23.597,4.977,28.574
drif_ov,23.484,4.848,28.331
drif_ov,23.404,4.871,28.275
drif_ov,23.442,4.825,28.266
drif_ov,23.575,4.853,28.427
drif_ov,23.479,4.858,28.337
drif_ov,23.442,4.948,28.390
drif_ov,23.611,4.876,28.487
drif_ov,23.475,4.881,28.356
drif_ov,23.545,4.870,28.415
drif_ov,23.584,4.899,28.482
drif_ov,23.598,4.924,28.522
drif_ov,23.473,4.890,28.363
drif_ov,23.451,4.819,28.270
drif_ov,23.463,4.796,28.259
drif_ov,23.547,4.883,28.430
drif_ov,23.489,4.894,28.383
drif_ov,23.574,4.836,28.409
drif_ov,23.566,4.896,28.462
drif_ov,23.595,4.921,28.516
drif_ov,23.651,5.063,28.713
drif_ov,23.585,4.940,28.525
drif_ov,23.702,4.934,28.635
drif_ov,23.555,4.852,28.407
drif_ov,24.011,4.880,28.891
drif_ov,23.509,4.967,28.476
drif_ov,24.371,4.874,29.245
drif_ov,25.985,4.974,30.959
drif_ov,23.433,4.882,28.314
drif_ov,23.657,4.866,28.523
drif_ov,23.526,4.904,28.429
drif_ov,23.430,4.875,28.305
drif_ov,23.490,4.871,28.361
drif_ov,23.653,4.942,28.594
drif_ov,23.864,5.108,28.972
drif_ov,23.573,4.856,28.429
drif_ov,23.533,4.998,28.531
drif_ov,23.563,4.830,28.392
drif_ov,23.458,4.850,28.308
drif_ov,23.675,4.823,28.498
drif_ov,23.571,4.892,28.463
drif_ov,23.882,4.804,28.686
drif_ov,23.567,4.866,28.433
drif_ov,23.652,5.031,28.683
drif_ov,23.493,4.847,28.340
drif_ov,23.678,5.040,28.718
drif_ov,23.427,4.905,28.333
drif_ov,23.583,5.002,28.585
drif_ov,23.497,4.870,28.367
drif_ov,23.484,4.861,28.345
drif_ov,23.647,4.892,28.539
drif_ov,23.564,4.884,28.448
drif_ov,23.484,4.905,28.388
drif_ov,23.571,4.804,28.375
drif_ov,23.500,4.893,28.393
drif_ov,23.435,4.856,28.290
drif_ov,23.644,4.827,28.470
drif_ov,23.531,4.883,28.414
drif_ov,34.663,4.965,39.627
drif_ov,23.589,4.864,28.453
drif_ov,23.585,4.881,28.466
drif_ov,23.704,4.998,28.702
drif_ov,23.478,4.874,28.352
drif_ov,23.429,4.988,28.417
drif_ov,23.568,4.900,28.468
drif_ov,23.583,4.920,28.503
drif_ov,23.525,4.885,28.409
drif_ov,23.489,4.869,28.358
drif_ov,23.510,4.837,28.347
drif_ov,23.518,4.896,28.414
drif_ov,23.496,4.930,28.425
drif_ov,23.741,5.019,28.761
drif_ov,23.520,4.852,28.372
drif_ov,23.555,4.907,28.461
drif_ov,23.671,4.856,28.527
drif_ov,23.508,4.856,28.364
drif_ov,23.638,4.881,28.519
drif_ov,23.523,4.875,28.397
drif_ov,23.427,4.941,28.368
drif_ov,23.455,4.866,28.321
drif_ov,23.484,4.934,28.418
drif_ov,23.510,4.932,28.441
drif_ov,23.513,4.909,28.423
drif_ov,23.562,4.854,28.416
drif_ov,23.581,4.902,28.484
drif_ov,23.640,4.881,28.522
drif_ov,24.088,5.001,29.089
drif_ov,23.720,4.918,28.638
drif_ov,23.486,4.975,28.460
drif_ov,23.437,4.931,28.368
drif_ov,24.537,4.858,29.395
drif_ov,23.432,4.837,28.269
drif_ov,23.449,4.784,28.233
drif_ov,23.536,4.870,28.406
drif_ov,23.509,4.899,28.408
drif_ov,23.408,4.861,28.269
drif_ov,23.710,4.753,28.463
drif_ov,23.473,4.919,28.392
drif_ov,23.528,4.889,28.417
drif_ov,24.518,4.897,29.415
drif_ov,23.522,4.951,28.473
drif_ov,23.583,4.912,28.494
drif_ov,23.552,4.873,28.425
drif_ov,23.491,4.857,28.348
drif_ov,23.480,4.842,28.322
drif_ov,23.424,4.858,28.282
drif_ov,23.497,4.851,28.349
drif_ov,23.551,5.098,28.649
drif_ov,23.585,5.016,28.601
drif_ov,23.614,9.961,33.575
drif_ov,23.553,4.912,28.465
drif_ov,23.573,4.854,28.426
drif_ov,23.628,4.876,28.503
drif_ov,23.506,4.843,28.349
drif_ov,23.467,4.800,28.267
drif_ov,23.559,4.888,28.448
drif_ov,23.819,4.974,28.793
drif_ov,23.576,4.901,28.478
drif_ov,23.531,5.638,29.169
drif_ov,23.729,4.972,28.701
drif_ov,23.702,4.948,28.650
drif_ov,23.668,4.945,28.614
drif_ov,23.753,4.979,28.732
drif_ov,24.414,5.041,29.455
drif_ov,24.211,4.894,29.106
drif_ov,23.566,4.835,28.401
drif_ov,23.600,4.836,28.436
drif_ov,23.443,4.864,28.307
drif_ov,23.557,4.883,28.440
drif_ov,23.564,4.873,28.437
drif_ov,23.525,4.848,28.373
drif_ov,23.446,4.914,28.360
drif_ov,23.804,4.928,28.732
drif_ov,23.528,4.827,28.355
drif_ov,23.577,4.850,28.427
drif_ov,23.451,4.901,28.352
drif_ov,23.604,4.856,28.460
drif_ov,23.469,4.855,28.324
drif_ov,23.604,4.986,28.590
drif_ov,23.559,4.928,28.487
drif_ov,26.884,4.979,31.863
drif_ov,23.687,4.875,28.562
drif_ov,23.538,4.874,28.412
drif_ov,23.560,4.875,28.435
drif_ov,23.519,4.851,28.371
drif_ov,27.575,7.096,34.671
drif_ov,23.460,4.850,28.310
drif_ov,23.521,4.881,28.402
drif_ov,23.510,4.843,28.352
drif_ov,23.534,4.833,28.367
drif_ov,23.471,4.844,28.314
drif_ov,23.689,5.066,28.755
drif_ov,23.660,4.967,28.627
drif_ov,23.697,4.935,28.632
