model,backbone_ms,action_head_ms,total_ms
groot,914.027,204.515,1118.542
groot,23.791,45.236,69.027
groot,23.580,46.095,69.674
groot,23.616,45.181,68.797
groot,23.560,45.149,68.709
groot,23.754,45.149,68.904
groot,23.491,45.113,68.604
groot,23.484,45.169,68.653
groot,23.606,45.112,68.718
groot,24.085,45.140,69.225
groot,23.486,45.116,68.602
groot,23.650,45.165,68.816
groot,23.466,45.130,68.596
groot,23.565,45.126,68.691
groot,23.540,45.169,68.709
groot,23.744,45.170,68.914
groot,23.486,45.131,68.617
groot,23.641,45.111,68.752
groot,23.532,45.147,68.679
groot,23.526,45.111,68.637
groot,23.566,45.197,68.763
groot,23.747,45.175,68.921
groot,23.465,45.136,68.601
groot,23.469,45.148,68.617
groot,23.637,45.186,68.823
groot,23.454,45.144,68.599
groot,23.531,46.061,69.592
groot,23.540,45.140,68.681
groot,23.624,45.147,68.771
groot,23.415,45.141,68.556
groot,23.557,45.112,68.669
groot,24.523,45.131,69.654
groot,23.568,45.105,68.673
groot,23.654,45.134,68.788
groot,23.477,45.173,68.649
groot,23.633,46.122,69.755
groot,23.519,45.120,68.640
groot,23.414,45.175,68.589
groot,23.488,45.121,68.609
groot,23.486,45.148,68.634
groot,23.580,45.148,68.728
groot,23.543,45.125,68.668
groot,23.560,45.175,68.735
groot,23.518,45.189,68.707
groot,23.474,45.161,68.635
groot,23.587,45.152,68.740
groot,23.473,45.129,68.602
groot,23.447,45.181,68.628
groot,23.606,45.145,68.752
groot,23.915,45.120,69.036
groot,23.583,45.162,68.744
groot,23.494,45.126,68.621
groot,23.647,45.135,68.782
groot,23.738,45.155,68.892
groot,23.487,45.135,68.622
groot,23.555,45.150,68.705
groot,23.661,45.164,68.824
groot,23.580,45.148,68.728
groot,23.695,45.135,68.830
groot,23.641,45.143,68.784
groot,23.525,45.181,68.706
groot,23.581,45.127,68.709
groot,23.592,45.115,68.707
groot,23.593,45.159,68.752
groot,23.538,45.163,68.701
groot,23.555,46.264,69.819
groot,23.570,45.171,68.742
groot,23.499,45.167,68.666
groot,23.668,45.180,68.848
groot,23.497,45.192,68.689
groot,23.675,45.141,68.817
groot,23.525,45.143,68.668
groot,23.521,45.147,68.668
groot,23.662,45.152,68.813
groot,23.578,45.129,68.707
groot,23.594,45.182,68.776
groot,23.649,45.150,68.798
groot,23.605,45.156,68.761
groot,23.460,45.127,68.587
groot,23.563,45.165,68.727
groot,24.342,45.145,69.487
groot,23.491,45.170,68.661
groot,24.563,45.130,69.693
groot,23.459,45.128,68.587
groot,23.474,45.172,68.645
groot,23.391,45.223,68.614
groot,23.562,45.409,68.970
groot,23.420,45.201,68.621
groot,23.619,45.167,68.786
groot,23.561,45.142,68.703
groot,23.631,45.145,68.776
groot,23.571,45.174,68.745
groot,23.873,45.127,69.000
groot,23.624,45.156,68.780
groot,23.593,45.149,68.743
groot,23.498,45.138,68.637
groot,27.309,45.155,72.464
groot,25.044,45.203,70.247
groot,23.560,45.149,68.709
groot,23.625,45.139,68.765
groot,23.632,45.118,68.750
groot,23.516,45.120,68.636
groot,26.023,45.109,71.132
groot,29.824,46.364,76.188
groot,23.746,45.154,68.900
groot,23.471,45.159,68.630
groot,23.685,45.129,68.814
