model,backbone_ms,action_head_ms,total_ms
drif_ov,184.236,14.880,199.117
drif_ov,23.542,5.046,28.588
drif_ov,23.537,4.928,28.466
drif_ov,23.572,4.871,28.443
drif_ov,23.682,4.924,28.607
drif_ov,23.672,4.862,28.534
drif_ov,23.536,4.861,28.397
drif_ov,23.480,4.864,28.344
drif_ov,23.578,4.913,28.491
drif_ov,23.611,4.882,28.493
drif_ov,23.607,4.900,28.507
drif_ov,23.566,4.881,28.447
drif_ov,23.602,5.020,28.623
drif_ov,23.561,4.891,28.452
drif_ov,23.736,4.993,28.729
drif_ov,23.534,4.940,28.473
drif_ov,23.479,4.855,28.334
drif_ov,23.598,4.893,28.491
drif_ov,23.619,4.887,28.506
drif_ov,23.570,4.954,28.523
drif_ov,23.601,4.888,28.489
drif_ov,23.609,4.873,28.482
drif_ov,23.508,4.896,28.404
drif_ov,23.532,4.885,28.417
drif_ov,23.591,4.857,28.448
drif_ov,23.488,4.867,28.355
drif_ov,23.581,4.850,28.431
drif_ov,23.537,4.883,28.420
drif_ov,23.447,4.886,28.334
drif_ov,23.506,4.876,28.382
drif_ov,23.498,4.858,28.356
drif_ov,23.533,4.860,28.393
drif_ov,23.519,4.847,28.366
drif_ov,23.503,4.852,28.355
drif_ov,23.566,4.908,28.474
drif_ov,23.471,4.875,28.346
drif_ov,23.532,4.889,28.421
drif_ov,23.576,4.865,28.442
drif_ov,23.523,4.844,28.367
drif_ov,23.502,4.880,28.382
drif_ov,23.501,4.864,28.365
drif_ov,23.533,4.923,28.456
drif_ov,23.507,4.885,28.393
drif_ov,23.617,4.974,28.591
drif_ov,23.676,4.914,28.590
drif_ov,23.467,4.835,28.302
drif_ov,23.497,4.817,28.314
drif_ov,24.249,4.851,29.100
drif_ov,23.535,4.858,28.393
drif_ov,26.920,4.791,31.711
drif_ov,23.539,4.884,28.423
drif_ov,23.594,4.904,28.498
drif_ov,23.777,4.994,28.771
drif_ov,23.557,4.856,28.413
drif_ov,26.300,4.794,31.093
drif_ov,23.585,4.783,28.369
drif_ov,23.495,4.883,28.378
drif_ov,23.539,4.881,28.420
drif_ov,23.461,4.910,28.371
drif_ov,23.477,5.027,28.504
drif_ov,23.602,4.854,28.456
drif_ov,23.500,4.852,28.352
drif_ov,23.483,4.914,28.397
drif_ov,23.493,4.852,28.345
drif_ov,23.656,4.957,28.613
drif_ov,23.562,4.871,28.433
drif_ov,23.521,4.895,28.415
drif_ov,23.616,4.805,28.420
drif_ov,23.545,4.816,28.361
drif_ov,23.647,4.789,28.436
drif_ov,23.472,4.720,28.192
drif_ov,23.529,4.729,28.258
drif_ov,23.550,4.926,28.476
drif_ov,23.648,4.788,28.436
drif_ov,23.754,4.744,28.498
drif_ov,23.595,4.817,28.412
drif_ov,23.535,4.727,28.263
drif_ov,23.489,4.753,28.242
drif_ov,23.503,4.816,28.319
