model,backbone_ms,action_head_ms,total_ms
drifting,225.272,14.994,240.266
drifting,28.547,5.428,33.975
drifting,24.215,4.722,28.936
drifting,25.074,4.649,29.723
drifting,25.904,4.804,30.708
drifting,23.627,4.917,28.544
drifting,23.544,4.737,28.281
drifting,23.529,4.719,28.248
drifting,23.566,4.747,28.313
drifting,23.461,4.911,28.372
drifting,23.720,5.061,28.781
drifting,23.590,4.760,28.350
drifting,23.536,4.738,28.274
drifting,23.712,4.763,28.475
drifting,24.295,4.737,29.032
drifting,23.715,4.799,28.514
drifting,23.754,4.736,28.489
drifting,23.621,4.801,28.422
drifting,23.691,4.967,28.657
drifting,23.494,4.797,28.291
drifting,23.458,4.804,28.262
drifting,23.496,4.713,28.209
drifting,23.639,4.850,28.489
drifting,23.617,4.985,28.602
drifting,23.656,4.870,28.526
drifting,23.723,4.874,28.597
drifting,23.720,4.909,28.628
drifting,23.576,4.822,28.397
drifting,23.622,4.781,28.403
drifting,23.549,5.060,28.609
drifting,23.688,4.785,28.473
drifting,23.705,4.854,28.559
drifting,23.560,4.734,28.294
drifting,23.465,4.726,28.192
drifting,23.721,4.691,28.412
drifting,23.526,4.736,28.263
drifting,23.571,4.723,28.294
drifting,23.552,4.723,28.274
drifting,23.523,4.770,28.293
drifting,23.571,5.188,28.759
drifting,23.576,4.755,28.331
drifting,23.511,4.762,28.273
drifting,23.653,4.829,28.482
drifting,23.626,4.711,28.337
drifting,23.600,4.776,28.376
drifting,23.527,4.777,28.303
drifting,23.720,4.707,28.427
drifting,23.577,4.600,28.178
drifting,23.718,4.690,28.409
drifting,23.534,4.617,28.151
drifting,23.492,4.587,28.080
drifting,23.612,4.701,28.312
drifting,23.692,4.645,28.337
drifting,23.571,4.594,28.166
drifting,23.522,4.615,28.138
drifting,23.608,4.773,28.381
drifting,23.536,4.676,28.211
drifting,23.523,4.615,28.137
drifting,23.529,4.641,28.169
drifting,29.123,4.697,33.820
drifting,23.572,4.651,28.224
drifting,23.474,4.604,28.078
drifting,23.582,4.608,28.190
drifting,23.551,4.590,28.141
drifting,23.589,4.806,28.396
drifting,23.530,4.654,28.184
drifting,23.501,4.641,28.143
drifting,23.527,4.606,28.133
drifting,23.547,4.692,28.239
drifting,23.644,4.810,28.454
drifting,23.550,4.732,28.281
drifting,23.508,4.749,28.258
drifting,23.668,4.797,28.465
drifting,23.578,4.739,28.316
drifting,23.506,4.775,28.281
drifting,23.512,4.810,28.323
drifting,23.628,4.856,28.484
drifting,23.542,5.045,28.587
drifting,23.507,4.776,28.282
drifting,23.581,4.782,28.364
drifting,23.621,4.773,28.394
drifting,23.551,4.748,28.299
drifting,23.553,4.754,28.307
drifting,23.555,4.756,28.311
drifting,23.533,4.937,28.470
drifting,23.563,4.780,28.343
drifting,23.529,4.709,28.237
drifting,23.587,4.769,28.357
drifting,23.696,4.899,28.595
drifting,23.570,4.724,28.294
drifting,23.497,4.712,28.209
drifting,23.550,4.720,28.269
drifting,23.583,4.780,28.363
drifting,23.561,4.711,28.272
drifting,23.491,4.804,28.295
drifting,23.607,4.721,28.328
drifting,23.498,4.696,28.194
drifting,23.466,4.725,28.191
drifting,23.620,4.777,28.397
drifting,23.482,4.662,28.145
drifting,23.618,4.817,28.435
drifting,23.736,4.921,28.657
drifting,23.677,4.791,28.468
drifting,23.657,4.708,28.364
drifting,23.570,4.716,28.286
drifting,23.617,4.781,28.398
drifting,23.634,4.749,28.384
drifting,23.509,4.706,28.215
drifting,23.633,4.760,28.394
drifting,23.535,4.755,28.291
drifting,23.712,4.871,28.583
drifting,23.567,4.733,28.300
drifting,24.647,4.716,29.363
drifting,23.589,4.713,28.301
drifting,23.582,4.696,28.278
drifting,23.569,4.743,28.313
drifting,23.645,4.786,28.431
drifting,23.773,4.784,28.557
drifting,23.721,4.935,28.656
drifting,23.545,4.700,28.245
drifting,23.666,4.963,28.629
drifting,23.626,4.734,28.360
drifting,23.636,4.754,28.389
drifting,23.647,4.776,28.423
drifting,23.710,4.847,28.557
drifting,23.449,4.730,28.179
drifting,23.580,4.760,28.339
drifting,23.534,4.728,28.262
drifting,23.642,4.711,28.352
drifting,23.522,4.754,28.276
drifting,23.378,4.749,28.127
drifting,24.096,4.742,28.837
drifting,23.525,4.736,28.261
drifting,23.761,4.824,28.585
drifting,23.606,4.832,28.438
drifting,23.592,4.767,28.359
drifting,23.562,4.805,28.367
drifting,23.674,4.778,28.453
drifting,23.725,4.781,28.506
drifting,23.703,5.028,28.731
drifting,23.612,4.723,28.335
drifting,23.773,4.726,28.499
drifting,23.568,4.724,28.292
drifting,23.690,4.736,28.426
drifting,23.632,4.798,28.430
drifting,24.157,4.745,28.902
drifting,23.634,4.736,28.371
drifting,23.515,4.725,28.240
drifting,23.535,4.734,28.268
drifting,23.473,4.671,28.144
drifting,23.058,4.682,27.740
drifting,23.189,4.599,27.789
drifting,23.560,4.632,28.192
drifting,23.567,4.690,28.257
drifting,23.620,4.628,28.248
drifting,23.596,4.624,28.221
drifting,23.447,4.617,28.064
drifting,23.684,4.654,28.338
drifting,23.526,4.643,28.168
drifting,23.430,4.568,27.999
drifting,23.514,4.618,28.132
drifting,23.588,4.598,28.186
drifting,23.582,4.598,28.180
drifting,23.538,4.760,28.298
drifting,23.570,4.605,28.175
drifting,23.668,4.742,28.410
drifting,23.511,4.618,28.129
drifting,23.659,4.673,28.332
drifting,23.585,4.598,28.183
drifting,23.559,4.582,28.142
drifting,23.571,4.648,28.219
drifting,23.719,4.613,28.332
drifting,23.567,4.630,28.197
drifting,23.744,5.350,29.093
drifting,23.477,4.653,28.130
drifting,23.487,4.603,28.090
drifting,23.744,4.541,28.285
drifting,23.561,4.606,28.166
drifting,23.575,4.688,28.264
drifting,23.513,4.623,28.135
drifting,23.532,4.602,28.134
drifting,23.504,4.577,28.081
drifting,23.528,4.613,28.141
drifting,23.623,4.631,28.254
drifting,23.757,4.620,28.377
drifting,23.712,4.610,28.322
drifting,23.544,4.606,28.150
drifting,23.566,4.640,28.205
drifting,23.501,4.590,28.091
drifting,23.574,4.651,28.225
drifting,24.758,8.533,33.291
drifting,23.588,4.631,28.219
drifting,25.906,4.714,30.621
drifting,23.652,4.600,28.252
drifting,23.568,4.572,28.140
drifting,23.561,4.651,28.212
drifting,23.632,4.678,28.310
drifting,23.762,4.716,28.478
drifting,23.683,4.742,28.425
drifting,23.640,4.711,28.351
drifting,23.678,4.672,28.349
drifting,23.547,4.592,28.139
drifting,23.649,4.656,28.305
drifting,23.591,4.625,28.215
drifting,23.557,4.598,28.155
