model,backbone_ms,action_head_ms,total_ms
groot,347.563,58.089,405.652
groot,28.808,46.250,75.057
groot,22.860,44.991,67.851
groot,23.755,45.174,68.930
groot,23.712,45.209,68.922
groot,23.692,45.204,68.897
groot,23.730,45.213,68.943
groot,23.747,45.154,68.901
groot,23.720,45.210,68.929
groot,23.831,45.317,69.148
groot,23.578,45.198,68.777
groot,23.622,45.182,68.804
groot,23.746,45.235,68.981
groot,23.711,45.187,68.899
groot,23.837,45.215,69.051
groot,23.852,45.198,69.050
groot,23.745,45.207,68.952
groot,23.647,45.165,68.812
groot,23.773,45.127,68.901
groot,23.611,45.104,68.715
groot,23.624,45.180,68.804
groot,23.606,45.216,68.822
groot,23.678,45.116,68.794
groot,23.741,45.137,68.879
groot,23.649,45.173,68.822
groot,23.731,45.262,68.993
groot,23.628,45.102,68.730
groot,23.668,45.125,68.793
groot,23.692,45.216,68.909
groot,23.747,45.219,68.966
groot,23.740,45.136,68.875
groot,23.663,45.102,68.765
groot,23.648,45.201,68.849
groot,23.708,45.178,68.886
groot,23.591,45.091,68.682
groot,23.652,45.123,68.775
groot,23.591,45.173,68.763
groot,23.644,45.210,68.853
groot,23.913,45.126,69.040
groot,23.667,45.126,68.793
groot,23.715,45.158,68.873
groot,23.695,45.205,68.900
groot,23.750,45.129,68.878
groot,23.636,45.112,68.748
groot,23.638,45.161,68.799
groot,23.671,45.179,68.850
groot,23.794,45.165,68.959
groot,23.818,45.128,68.946
groot,23.564,45.191,68.755
groot,23.642,45.222,68.865
groot,23.734,45.153,68.887
groot,23.755,45.141,68.897
groot,23.662,45.271,68.934
groot,23.631,45.221,68.852
groot,23.575,45.127,68.701
groot,23.761,45.156,68.916
groot,23.664,45.236,68.900
groot,23.695,45.251,68.945
groot,23.603,45.126,68.729
groot,23.587,45.166,68.752
groot,23.711,45.190,68.901
groot,23.693,45.189,68.882
groot,23.645,45.102,68.747
groot,23.709,45.137,68.846
groot,23.680,45.157,68.837
groot,23.849,45.286,69.135
groot,23.919,44.908,68.826
groot,23.630,44.861,68.491
groot,23.720,44.943,68.663
groot,23.700,44.946,68.646
groot,23.994,45.003,68.996
groot,23.857,44.974,68.831
groot,23.639,44.924,68.564
groot,24.252,44.960,69.212
groot,23.694,44.891,68.584
groot,23.573,44.854,68.427
groot,23.648,45.121,68.770
groot,23.720,44.938,68.658
groot,23.651,44.876,68.527
groot,23.924,44.929,68.853
groot,23.726,44.937,68.663
groot,23.706,44.962,68.669
groot,23.622,44.876,68.498
groot,23.899,45.104,69.003
groot,23.734,45.200,68.934
groot,23.681,45.202,68.883
groot,23.721,45.289,69.010
groot,23.771,45.220,68.991
groot,23.794,45.220,69.013
groot,23.698,45.212,68.910
groot,23.596,45.207,68.804
groot,23.674,45.183,68.857
groot,23.701,45.233,68.934
groot,23.688,45.299,68.987
groot,23.774,45.197,68.971
groot,23.668,45.177,68.845
groot,23.749,45.236,68.985
groot,23.683,45.180,68.863
groot,23.695,45.272,68.967
groot,23.744,45.214,68.958
groot,23.758,45.205,68.964
groot,23.631,45.245,68.876
groot,23.705,45.265,68.969
