model,backbone_ms,action_head_ms,total_ms
pi05,32.722,66.427,99.149
pi05,34.284,66.990,101.273
pi05,32.720,66.362,99.083
pi05,32.763,67.159,99.922
pi05,33.039,66.316,99.355
pi05,32.334,66.307,98.641
pi05,34.339,66.318,100.657
pi05,32.329,66.226,98.555
pi05,34.163,67.681,101.844
pi05,31.701,66.442,98.143
pi05,31.703,66.974,98.677
pi05,34.305,67.428,101.733
pi05,32.824,66.314,99.137
pi05,32.336,66.270,98.605
pi05,32.350,66.387,98.737
pi05,32.174,67.091,99.265
pi05,32.189,66.582,98.771
pi05,34.283,65.869,100.152
pi05,32.577,66.020,98.597
pi05,33.479,71.446,104.925
pi05,34.294,66.775,101.069
pi05,34.998,66.268,101.265
pi05,33.301,68.023,101.324
pi05,33.323,65.744,99.066
pi05,32.323,66.029,98.352
pi05,33.000,65.934,98.933
pi05,35.006,65.733,100.739
pi05,32.730,65.941,98.671
pi05,32.728,66.882,99.609
pi05,34.982,66.133,101.115
pi05,33.927,72.326,106.253
pi05,31.970,65.963,97.933
pi05,31.828,67.251,99.078
pi05,34.309,67.899,102.208
pi05,33.349,66.747,100.096
pi05,32.346,66.942,99.288
pi05,32.347,67.201,99.548
pi05,34.273,66.866,101.139
pi05,35.289,66.597,101.886
pi05,32.926,66.466,99.392
pi05,33.170,66.136,99.306
pi05,32.821,66.295,99.116
pi05,31.716,66.297,98.013
pi05,31.709,66.611,98.319
pi05,34.979,65.769,100.748
pi05,32.569,66.209,98.778
pi05,31.972,67.718,99.690
pi05,32.766,67.568,100.335
pi05,34.278,66.819,101.097
pi05,32.747,65.924,98.671
pi05,31.983,66.290,98.273
pi05,31.796,66.739,98.536
pi05,31.797,72.307,104.105
pi05,32.281,66.283,98.564
pi05,31.699,69.382,101.081
pi05,34.295,69.700,103.995
pi05,34.274,66.555,100.829
pi05,34.284,66.625,100.908
pi05,33.120,66.550,99.670
pi05,32.720,67.197,99.917
pi05,32.581,67.476,100.057
pi05,32.580,65.866,98.446
pi05,32.325,67.046,99.371
pi05,33.093,74.270,107.363
pi05,31.829,65.776,97.606
pi05,32.331,66.592,98.922
pi05,34.308,67.596,101.904
pi05,34.304,66.682,100.986
pi05,33.776,66.691,100.467
pi05,33.689,66.420,100.109
pi05,32.183,66.870,99.053
pi05,32.175,67.023,99.198
pi05,34.285,66.432,100.717
pi05,34.696,66.441,101.137
pi05,32.475,69.315,101.790
pi05,31.725,66.848,98.573
pi05,31.716,66.975,98.691
pi05,34.299,66.946,101.244
pi05,33.281,66.602,99.883
pi05,32.568,67.020,99.588
pi05,35.119,66.454,101.573
pi05,32.634,66.488,99.122
pi05,32.235,66.227,98.462
pi05,32.151,65.561,97.712
pi05,32.125,67.001,99.126
pi05,31.930,72.502,104.432
pi05,31.730,68.099,99.829
pi05,32.304,66.265,98.568
pi05,34.311,66.971,101.282
pi05,38.573,94.169,132.741
pi05,38.190,68.954,107.144
pi05,35.296,66.658,101.954
pi05,32.933,66.157,99.090
pi05,34.625,70.004,104.629
pi05,37.683,67.843,105.526
pi05,31.741,69.135,100.876
pi05,35.406,67.602,103.007
pi05,35.946,67.897,103.843
pi05,33.818,66.599,100.417
pi05,31.739,68.711,100.450
pi05,35.351,68.877,104.228
pi05,38.349,69.905,108.254
pi05,38.146,70.137,108.284
pi05,33.959,68.551,102.510
pi05,36.722,68.503,105.224
pi05,38.436,70.095,108.530
pi05,38.181,70.937,109.119
pi05,38.742,77.954,116.696
pi05,34.419,72.008,106.427
pi05,37.026,66.268,103.294
pi05,34.884,69.733,104.616
pi05,31.757,67.182,98.939
pi05,38.456,70.625,109.081
pi05,38.394,69.257,107.652
pi05,34.508,69.033,103.540
pi05,34.949,70.053,105.002
pi05,33.782,68.755,102.537
pi05,32.781,68.018,100.799
pi05,38.043,112.566,150.610
pi05,36.882,71.306,108.189
pi05,38.159,68.402,106.561
pi05,34.134,67.913,102.047
pi05,36.529,68.521,105.050
pi05,35.434,69.636,105.069
pi05,34.657,70.191,104.848
pi05,34.456,70.099,104.554
pi05,34.856,69.463,104.319
pi05,34.343,67.398,101.741
pi05,34.717,69.401,104.118
pi05,37.737,81.702,119.439
pi05,38.093,73.246,111.338
pi05,33.599,70.834,104.433
pi05,37.908,71.597,109.505
pi05,35.028,68.845,103.874
pi05,34.399,68.799,103.198
pi05,34.597,68.169,102.766
pi05,34.694,68.603,103.297
pi05,34.652,68.193,102.845
pi05,32.473,67.000,99.473
pi05,35.129,67.959,103.087
pi05,32.410,78.631,111.041
pi05,32.014,70.615,102.629
pi05,41.083,68.947,110.030
pi05,31.732,69.075,100.807
pi05,38.409,70.150,108.558
pi05,38.316,75.833,114.149
pi05,37.022,70.187,107.209
pi05,35.879,70.893,106.772
pi05,36.347,69.972,106.320
pi05,35.991,68.369,104.360
pi05,34.822,68.418,103.240
pi05,34.858,70.540,105.398
pi05,39.647,69.518,109.165
pi05,38.774,70.873,109.647
pi05,31.746,66.769,98.516
pi05,35.092,67.890,102.982
pi05,31.756,67.495,99.251
pi05,31.744,66.877,98.621
pi05,37.822,67.974,105.795
pi05,35.113,67.797,102.910
pi05,42.165,69.790,111.955
pi05,32.389,65.964,98.353
pi05,31.814,70.498,102.311
pi05,34.294,83.113,117.407
pi05,34.282,68.565,102.848
pi05,34.500,68.029,102.529
pi05,34.898,66.797,101.695
pi05,32.947,66.146,99.093
pi05,32.927,66.159,99.086
pi05,32.934,66.278,99.213
pi05,34.261,66.196,100.457
pi05,35.238,65.812,101.050
pi05,32.999,66.316,99.315
pi05,32.590,66.818,99.408
pi05,31.775,67.150,98.924
pi05,31.750,68.567,100.317
pi05,31.790,66.216,98.006
pi05,37.606,73.471,111.077
pi05,37.793,69.252,107.045
pi05,31.760,69.540,101.300
pi05,31.758,68.771,100.529
pi05,31.761,65.936,97.698
pi05,35.299,66.081,101.380
pi05,35.003,66.860,101.863
pi05,41.382,69.620,111.002
pi05,37.744,71.174,108.918
pi05,32.317,65.665,97.982
pi05,32.649,66.965,99.614
pi05,31.732,69.986,101.717
pi05,34.296,67.545,101.840
pi05,35.144,67.833,102.977
pi05,31.789,67.559,99.348
pi05,31.746,66.638,98.384
pi05,34.106,66.752,100.858
pi05,32.669,66.699,99.368
pi05,32.731,67.401,100.133
pi05,35.158,67.567,102.725
pi05,32.424,67.210,99.634
pi05,32.552,65.861,98.413
pi05,31.826,66.739,98.565
pi05,34.940,66.692,101.633
pi05,34.299,67.394,101.693
pi05,32.671,67.040,99.711
pi05,32.953,66.724,99.677
pi05,32.148,67.408,99.556
pi05,34.443,67.789,102.232
pi05,32.299,66.848,99.147
pi05,32.341,66.630,98.971
pi05,34.189,66.851,101.040
pi05,33.618,66.908,100.526
pi05,32.920,66.873,99.793
pi05,33.508,66.912,100.420
pi05,34.296,66.444,100.740
pi05,33.316,66.380,99.696
pi05,32.225,67.034,99.259
pi05,32.158,66.554,98.712
pi05,32.865,68.802,101.668
pi05,31.784,69.673,101.458
pi05,31.757,67.308,99.066
pi05,32.365,67.433,99.798
pi05,31.796,67.020,98.816
pi05,34.298,67.065,101.363
pi05,33.906,66.667,100.573
pi05,33.074,66.867,99.941
pi05,35.041,66.024,101.065
pi05,33.621,68.972,102.594
pi05,33.353,66.419,99.772
pi05,33.560,66.528,100.088
pi05,31.767,66.492,98.259
pi05,32.522,66.850,99.372
pi05,32.357,66.697,99.054
pi05,34.290,67.051,101.341
pi05,32.680,66.840,99.520
pi05,32.641,66.151,98.792
pi05,34.280,67.097,101.377
pi05,33.195,67.062,100.257
pi05,34.077,67.049,101.126
pi05,33.965,66.720,100.685
pi05,33.774,66.900,100.674
pi05,33.161,67.378,100.539
pi05,32.148,67.144,99.292
pi05,32.792,66.852,99.643
pi05,34.396,67.858,102.254
pi05,33.396,67.334,100.730
pi05,32.723,67.031,99.754
pi05,32.916,67.160,100.076
pi05,34.920,66.146,101.067
pi05,32.673,68.311,100.984
pi05,32.043,68.363,100.406
pi05,32.639,68.326,100.966
pi05,31.788,67.445,99.232
pi05,31.760,66.870,98.630
pi05,32.392,66.651,99.043
pi05,34.294,66.897,101.191
pi05,34.273,67.167,101.440
pi05,34.292,66.395,100.687
pi05,33.475,67.135,100.609
pi05,32.143,67.122,99.266
pi05,32.151,66.733,98.884
pi05,32.213,66.501,98.715
pi05,35.160,65.959,101.119
pi05,35.181,66.300,101.481
pi05,32.690,66.758,99.448
pi05,33.588,66.392,99.980
pi05,32.675,68.321,100.996
pi05,32.748,68.253,101.001
pi05,31.956,67.654,99.611
pi05,31.896,66.339,98.235
pi05,31.896,67.028,98.923
pi05,34.288,67.193,101.481
pi05,32.288,66.959,99.247
pi05,32.408,66.090,98.499
pi05,31.885,66.824,98.710
pi05,34.816,66.893,101.709
pi05,32.345,66.451,98.796
pi05,32.267,66.842,99.110
pi05,32.298,66.555,98.853
pi05,35.067,66.002,101.069
pi05,32.138,66.851,98.989
pi05,32.448,66.095,98.543
pi05,32.491,65.692,98.183
pi05,32.752,66.910,99.662
pi05,34.284,67.604,101.888
pi05,34.840,65.925,100.765
pi05,32.294,67.799,100.093
pi05,33.496,67.718,101.214
pi05,32.310,66.929,99.238
pi05,33.045,66.495,99.540
pi05,32.184,65.523,97.708
pi05,32.157,67.854,100.011
pi05,34.565,68.169,102.734
pi05,32.689,66.238,98.927
pi05,32.082,66.502,98.583
pi05,31.839,66.063,97.902
pi05,35.483,78.498,113.981
pi05,31.740,68.772,100.513
pi05,32.439,68.714,101.153
