model,backbone_ms,action_head_ms,total_ms
pi05,6771.120,29600.109,36371.229
pi05,6446.519,23162.536,29609.055
pi05,45.390,44.452,89.842
pi05,31.852,21.532,53.384
pi05,34.372,21.451,55.823
pi05,34.966,21.451,56.417
pi05,35.193,21.469,56.662
pi05,34.497,21.543,56.040
pi05,34.397,169.198,203.596
pi05,35.191,66.941,102.132
pi05,32.262,68.006,100.268
pi05,32.271,67.519,99.791
pi05,35.775,70.407,106.182
pi05,32.773,68.117,100.891
pi05,32.740,68.013,100.753
pi05,32.756,68.732,101.489
pi05,35.427,67.627,103.054
pi05,33.252,67.493,100.746
pi05,32.338,68.478,100.816
pi05,34.399,68.816,103.216
pi05,34.356,68.498,102.854
pi05,33.187,67.706,100.893
pi05,32.114,68.191,100.305
pi05,32.094,67.440,99.534
pi05,32.007,68.036,100.043
pi05,35.147,69.409,104.556
pi05,31.843,68.625,100.467
pi05,31.878,68.610,100.488
pi05,31.843,68.019,99.862
pi05,32.525,67.757,100.282
pi05,35.299,68.631,103.930
pi05,32.478,69.564,102.042
pi05,32.097,68.357,100.455
pi05,32.098,68.110,100.209
pi05,32.545,67.629,100.174
pi05,31.985,67.244,99.229
pi05,34.483,68.793,103.276
pi05,31.854,69.630,101.484
pi05,32.536,67.879,100.415
pi05,33.517,68.306,101.823
pi05,34.394,67.488,101.882
pi05,33.106,67.709,100.815
pi05,32.838,68.695,101.534
pi05,34.417,69.715,104.132
pi05,32.756,68.067,100.823
pi05,32.650,67.916,100.566
pi05,32.080,68.226,100.306
pi05,32.082,67.964,100.046
pi05,34.458,68.739,103.197
pi05,32.445,69.379,101.824
pi05,32.444,68.723,101.167
pi05,32.360,68.543,100.903
pi05,31.858,68.722,100.580
pi05,33.194,67.663,100.856
pi05,35.152,69.605,104.758
pi05,35.009,69.366,104.376
pi05,35.432,68.412,103.844
pi05,32.073,67.977,100.050
pi05,31.977,68.287,100.264
pi05,31.943,67.854,99.798
pi05,35.022,67.094,102.116
pi05,34.875,67.837,102.712
pi05,35.105,70.453,105.558
pi05,34.332,67.448,101.780
pi05,32.313,66.257,98.571
pi05,32.880,67.891,100.771
pi05,32.118,67.972,100.089
pi05,34.381,68.597,102.978
pi05,34.388,67.763,102.151
pi05,35.246,68.325,103.571
pi05,33.121,66.826,99.947
pi05,32.632,67.189,99.820
pi05,34.434,68.869,103.303
pi05,32.088,70.607,102.695
pi05,32.827,70.541,103.368
pi05,32.254,69.933,102.187
pi05,34.407,70.197,104.604
pi05,33.544,69.600,103.144
pi05,32.274,69.979,102.253
pi05,35.746,68.174,103.920
pi05,34.386,68.233,102.619
pi05,32.419,70.239,102.658
pi05,33.101,68.916,102.017
pi05,31.914,68.993,100.907
pi05,34.419,68.320,102.739
pi05,33.755,69.559,103.314
pi05,33.894,68.615,102.510
pi05,32.075,70.258,102.333
pi05,32.093,70.014,102.107
pi05,34.380,68.979,103.359
pi05,35.133,67.871,103.004
pi05,34.365,67.981,102.347
pi05,34.378,68.396,102.774
pi05,33.427,68.083,101.510
pi05,32.639,68.376,101.015
pi05,32.072,67.589,99.661
pi05,34.585,68.086,102.671
pi05,33.664,67.962,101.627
pi05,31.879,68.133,100.012
pi05,31.853,68.277,100.129
pi05,33.766,67.076,100.842
pi05,34.372,67.077,101.449
pi05,32.748,68.503,101.251
pi05,34.373,68.665,103.038
pi05,35.069,68.410,103.479
pi05,33.259,67.722,100.981
pi05,32.078,68.115,100.193
pi05,32.434,68.805,101.239
pi05,34.400,69.046,103.446
pi05,35.219,70.206,105.424
pi05,34.395,70.281,104.676
pi05,34.393,70.764,105.158
pi05,32.753,70.406,103.158
pi05,32.913,69.466,102.379
pi05,32.334,68.163,100.497
pi05,31.860,69.494,101.353
pi05,31.793,68.490,100.283
pi05,32.428,68.057,100.485
pi05,31.788,66.962,98.749
pi05,31.808,68.055,99.863
pi05,34.416,69.112,103.528
pi05,35.107,68.092,103.199
pi05,32.432,68.165,100.597
pi05,32.144,67.865,100.009
pi05,31.853,68.256,100.109
pi05,32.794,68.268,101.062
pi05,35.131,68.836,103.967
pi05,32.070,68.898,100.968
pi05,31.945,68.825,100.770
pi05,31.936,69.112,101.048
pi05,32.612,68.555,101.167
pi05,34.391,68.090,102.482
pi05,35.093,68.677,103.770
pi05,35.017,69.178,104.196
pi05,32.831,67.442,100.273
pi05,32.801,69.681,102.482
pi05,32.829,68.535,101.363
pi05,35.288,68.507,103.795
pi05,34.004,68.523,102.527
pi05,34.363,68.779,103.142
pi05,34.367,69.445,103.812
pi05,35.018,68.306,103.324
pi05,32.752,68.906,101.658
pi05,31.904,68.422,100.326
pi05,34.661,67.838,102.499
pi05,33.502,69.003,102.505
pi05,32.723,70.498,103.221
pi05,31.848,69.934,101.782
pi05,32.645,68.907,101.552
pi05,35.912,70.254,106.165
pi05,34.417,68.628,103.045
pi05,32.717,68.118,100.835
pi05,32.216,68.295,100.511
pi05,32.699,68.943,101.642
pi05,31.983,67.952,99.935
pi05,31.966,70.461,102.427
pi05,35.317,68.810,104.128
pi05,34.382,68.913,103.295
pi05,34.375,69.610,103.985
