model,backbone_ms,action_head_ms,total_ms
pi05,34.938,65.678,100.615
pi05,34.315,65.384,99.698
pi05,34.326,65.396,99.722
pi05,35.061,64.131,99.191
pi05,33.095,64.434,97.529
pi05,31.900,64.302,96.202
pi05,33.855,65.067,98.922
pi05,32.568,64.379,96.947
pi05,32.594,66.981,99.575
pi05,31.988,67.537,99.525
pi05,32.010,67.139,99.149
pi05,32.886,64.864,97.751
pi05,34.308,65.245,99.553
pi05,34.296,65.362,99.658
pi05,32.386,65.143,97.529
pi05,32.190,65.443,97.633
pi05,32.007,65.382,97.390
pi05,32.105,65.495,97.600
pi05,34.288,65.754,100.042
pi05,32.570,65.160,97.730
pi05,31.817,65.745,97.562
pi05,31.887,64.696,96.583
pi05,31.852,65.043,96.895
pi05,32.842,65.055,97.897
pi05,35.242,64.673,99.915
pi05,33.067,64.557,97.624
pi05,32.672,65.038,97.711
pi05,32.808,65.028,97.836
pi05,32.019,65.205,97.224
pi05,35.291,65.266,100.556
pi05,32.224,65.567,97.791
pi05,32.221,65.341,97.561
pi05,32.205,65.482,97.687
pi05,34.270,64.909,99.178
pi05,34.287,65.201,99.488
pi05,35.029,65.971,100.999
pi05,35.302,65.068,100.371
pi05,34.344,66.719,101.063
pi05,34.284,64.189,98.473
pi05,34.465,64.471,98.936
pi05,33.455,64.471,97.927
pi05,32.577,65.614,98.192
pi05,31.988,64.801,96.789
pi05,31.972,64.567,96.540
pi05,32.643,64.842,97.485
pi05,33.073,64.025,97.098
pi05,32.711,64.165,96.876
pi05,31.905,65.437,97.342
pi05,31.896,65.189,97.085
pi05,31.915,65.599,97.514
pi05,31.876,64.614,96.490
pi05,31.913,64.634,96.547
pi05,31.898,69.934,101.831
pi05,34.981,66.192,101.173
pi05,32.599,66.434,99.033
pi05,32.683,65.046,97.729
pi05,32.580,65.017,97.598
pi05,34.303,65.160,99.463
pi05,34.311,65.425,99.736
pi05,35.410,65.398,100.808
pi05,33.678,64.762,98.440
pi05,32.019,65.263,97.283
pi05,32.095,66.263,98.358
pi05,32.381,65.163,97.544
pi05,32.019,66.575,98.594
pi05,32.936,66.144,99.080
pi05,32.663,65.751,98.414
pi05,35.009,68.571,103.580
pi05,34.877,64.557,99.434
pi05,32.961,65.109,98.069
pi05,32.143,64.796,96.939
pi05,32.670,65.137,97.808
pi05,33.493,65.765,99.259
pi05,35.017,65.444,100.461
pi05,35.015,64.073,99.088
pi05,35.101,64.585,99.686
pi05,36.646,64.623,101.269
pi05,33.284,65.328,98.612
pi05,32.496,65.524,98.020
pi05,34.903,64.631,99.533
pi05,35.130,64.989,100.118
pi05,34.998,65.037,100.035
pi05,35.156,64.326,99.482
pi05,34.334,65.125,99.459
pi05,33.106,64.871,97.977
pi05,32.838,64.604,97.442
pi05,32.928,64.660,97.587
pi05,32.492,64.980,97.472
pi05,32.612,64.991,97.603
pi05,34.357,66.353,100.710
pi05,31.848,65.565,97.414
pi05,31.845,68.344,100.189
pi05,31.846,66.742,98.588
pi05,34.313,65.391,99.705
pi05,36.385,65.081,101.466
pi05,34.350,65.660,100.010
pi05,33.103,65.785,98.888
pi05,32.167,68.021,100.188
pi05,32.060,64.819,96.878
pi05,31.893,78.075,109.968
pi05,31.942,65.584,97.526
pi05,34.364,65.297,99.660
pi05,33.676,65.389,99.065
pi05,32.151,65.831,97.981
pi05,32.584,64.812,97.396
pi05,32.424,64.659,97.083
pi05,32.531,65.404,97.935
pi05,34.346,67.111,101.456
pi05,33.130,66.727,99.857
pi05,32.889,68.676,101.565
pi05,32.586,67.449,100.035
pi05,32.032,68.305,100.337
pi05,32.130,67.835,99.965
pi05,34.955,67.288,102.243
pi05,35.033,65.103,100.136
pi05,35.169,66.324,101.493
pi05,34.303,65.299,99.601
pi05,34.290,65.406,99.697
pi05,34.288,65.513,99.801
pi05,35.032,67.019,102.051
pi05,33.567,65.206,98.773
pi05,32.205,65.256,97.461
pi05,32.069,65.459,97.527
pi05,32.709,63.696,96.405
pi05,32.659,65.366,98.025
pi05,32.031,65.546,97.578
pi05,31.859,64.975,96.834
pi05,32.869,65.147,98.016
pi05,32.528,64.675,97.202
pi05,32.414,64.704,97.118
pi05,34.887,64.719,99.605
pi05,32.735,66.031,98.766
pi05,32.907,65.365,98.272
pi05,34.305,66.487,100.792
pi05,34.291,65.163,99.453
pi05,33.680,64.208,97.888
pi05,32.432,64.368,96.801
pi05,33.016,65.848,98.864
pi05,32.788,65.838,98.627
pi05,35.078,65.737,100.815
pi05,34.796,65.938,100.734
pi05,34.286,65.285,99.571
pi05,34.310,65.169,99.479
pi05,35.182,66.013,101.195
pi05,34.995,65.138,100.133
pi05,35.028,65.609,100.637
pi05,35.127,65.325,100.452
pi05,36.114,64.838,100.952
pi05,34.927,63.943,98.869
pi05,35.175,64.838,100.013
pi05,34.995,65.363,100.358
pi05,35.014,64.708,99.723
pi05,35.404,64.721,100.126
pi05,35.161,65.792,100.952
pi05,34.977,65.237,100.214
pi05,34.556,66.284,100.839
