model,backbone_ms,action_head_ms,total_ms
pi05,40.915,73.247,114.163
pi05,38.280,73.955,112.235
pi05,38.724,72.409,111.133
pi05,38.669,72.996,111.665
pi05,38.514,71.960,110.474
pi05,38.649,71.400,110.049
pi05,38.598,71.215,109.813
pi05,38.952,70.168,109.120
pi05,40.706,72.418,113.124
pi05,38.490,70.196,108.687
pi05,38.643,73.094,111.737
pi05,38.636,71.985,110.621
pi05,38.916,73.372,112.288
pi05,38.530,72.235,110.765
pi05,38.964,74.223,113.188
pi05,38.412,75.484,113.896
pi05,38.197,73.059,111.256
pi05,39.058,72.470,111.527
pi05,38.791,72.802,111.593
pi05,38.741,71.804,110.545
pi05,42.199,72.033,114.231
pi05,39.007,71.423,110.430
pi05,39.012,71.759,110.771
pi05,38.679,71.742,110.421
pi05,38.760,74.941,113.701
pi05,38.399,72.324,110.723
pi05,39.592,70.672,110.264
pi05,38.436,75.236,113.672
pi05,38.735,89.624,128.359
pi05,38.641,78.161,116.802
pi05,38.328,72.914,111.242
pi05,38.477,71.019,109.495
pi05,42.065,71.767,113.832
pi05,39.221,71.168,110.389
pi05,38.535,71.045,109.580
pi05,38.966,74.312,113.278
pi05,38.242,74.311,112.553
pi05,39.002,72.872,111.874
pi05,37.693,72.204,109.898
pi05,38.804,72.031,110.835
pi05,38.695,73.325,112.020
pi05,38.752,73.667,112.419
pi05,38.292,71.349,109.641
pi05,38.714,73.181,111.895
pi05,38.280,72.988,111.268
pi05,38.442,75.188,113.630
pi05,38.366,71.560,109.926
pi05,38.730,71.190,109.921
pi05,38.552,72.303,110.855
pi05,38.361,71.136,109.497
