model,backbone_ms,action_head_ms,total_ms
drif_ov,174.623,14.365,188.988
drif_ov,23.335,4.775,28.109
drif_ov,25.459,4.796,30.255
drif_ov,25.223,4.711,29.934
drif_ov,23.418,4.752,28.170
drif_ov,23.665,4.786,28.451
drif_ov,23.415,4.762,28.177
drif_ov,23.416,5.067,28.483
drif_ov,23.450,4.764,28.214
drif_ov,23.497,4.817,28.314
drif_ov,23.506,4.820,28.326
drif_ov,23.469,4.773,28.243
drif_ov,23.552,4.803,28.356
drif_ov,22.624,4.729,27.352
drif_ov,22.622,4.770,27.392
drif_ov,22.406,4.693,27.099
drif_ov,23.375,4.792,28.167
drif_ov,23.602,4.773,28.374
drif_ov,23.405,4.801,28.206
drif_ov,23.480,4.820,28.300
drif_ov,23.385,4.920,28.305
drif_ov,23.492,4.796,28.288
drif_ov,23.451,4.811,28.262
drif_ov,23.441,4.789,28.230
drif_ov,24.719,4.790,29.509
drif_ov,24.352,4.666,29.018
drif_ov,23.747,4.682,28.429
drif_ov,23.661,4.680,28.341
drif_ov,23.379,4.762,28.141
drif_ov,23.387,5.983,29.370
drif_ov,23.468,4.813,28.281
drif_ov,23.520,4.772,28.292
drif_ov,23.442,4.815,28.257
drif_ov,23.504,4.866,28.370
drif_ov,23.404,4.780,28.184
drif_ov,23.712,4.668,28.380
drif_ov,23.456,4.795,28.252
drif_ov,24.752,4.848,29.600
drif_ov,23.485,4.780,28.264
drif_ov,23.915,4.703,28.617
drif_ov,22.478,4.762,27.241
drif_ov,22.597,4.640,27.237
drif_ov,23.510,4.758,28.268
drif_ov,23.425,4.787,28.212
drif_ov,23.395,4.747,28.142
drif_ov,23.466,4.812,28.278
drif_ov,23.408,4.762,28.171
drif_ov,23.497,4.777,28.274
drif_ov,23.365,4.781,28.147
drif_ov,23.442,4.824,28.266
drif_ov,23.522,4.805,28.328
drif_ov,23.574,4.770,28.343
drif_ov,23.467,4.761,28.229
drif_ov,22.789,4.713,27.502
drif_ov,22.526,4.733,27.259
drif_ov,23.464,4.772,28.236
drif_ov,23.531,4.829,28.360
drif_ov,23.437,5.104,28.541
drif_ov,23.450,4.796,28.246
drif_ov,23.416,4.803,28.219
drif_ov,23.499,4.897,28.396
drif_ov,23.462,4.766,28.228
drif_ov,23.398,4.781,28.179
drif_ov,23.928,4.837,28.765
drif_ov,23.442,4.809,28.251
drif_ov,24.802,4.717,29.519
drif_ov,23.430,4.804,28.233
drif_ov,23.286,4.819,28.105
drif_ov,23.461,4.793,28.254
drif_ov,23.407,4.761,28.167
drif_ov,23.405,4.777,28.181
drif_ov,23.421,4.799,28.220
drif_ov,23.513,4.805,28.317
drif_ov,23.418,4.746,28.163
drif_ov,23.531,4.845,28.377
drif_ov,23.516,4.802,28.318
drif_ov,23.826,4.777,28.602
drif_ov,23.450,4.832,28.282
drif_ov,24.046,4.920,28.966
drif_ov,23.633,4.840,28.473
drif_ov,23.518,4.873,28.391
drif_ov,23.535,4.892,28.426
drif_ov,23.553,4.884,28.437
drif_ov,23.407,4.767,28.173
drif_ov,23.437,4.791,28.227
drif_ov,23.517,4.900,28.417
