model,backbone_ms,action_head_ms,total_ms
groot,243.997,91.305,335.302
groot,23.486,45.151,68.637
groot,23.500,49.291,72.791
groot,23.492,45.148,68.640
groot,23.488,45.133,68.622
groot,23.484,45.127,68.611
groot,23.512,45.145,68.657
groot,23.441,45.208,68.648
groot,23.507,45.137,68.644
groot,23.606,45.147,68.753
groot,23.467,45.119,68.587
groot,25.422,45.150,70.572
groot,23.651,45.164,68.814
groot,24.965,45.822,70.786
groot,23.497,45.160,68.657
groot,23.525,45.154,68.679
groot,23.779,45.111,68.891
groot,23.505,45.122,68.627
groot,23.417,45.124,68.541
groot,32.830,45.112,77.942
groot,23.198,45.794,68.992
groot,24.446,44.521,68.967
groot,23.488,45.130,68.618
groot,23.411,45.152,68.562
groot,23.422,45.154,68.576
groot,23.554,45.178,68.732
groot,23.445,45.096,68.541
groot,23.490,45.143,68.633
groot,22.733,43.332,66.065
groot,22.619,43.362,65.981
groot,23.592,45.142,68.734
groot,23.441,45.135,68.577
groot,23.455,45.172,68.627
groot,23.564,45.149,68.713
groot,23.710,45.135,68.845
groot,24.631,43.282,67.913
groot,24.153,45.158,69.311
groot,23.441,45.146,68.587
groot,23.467,45.114,68.582
groot,23.477,45.236,68.713
groot,23.527,45.121,68.648
groot,23.454,45.127,68.581
groot,23.581,45.142,68.724
groot,23.552,45.148,68.700
groot,23.528,45.115,68.643
groot,23.460,45.160,68.620
groot,25.084,43.277,68.361
groot,22.500,43.293,65.793
groot,23.452,45.167,68.619
groot,23.490,45.150,68.640
groot,23.507,45.148,68.656
groot,23.475,45.171,68.646
groot,23.490,45.137,68.627
groot,22.633,43.379,66.012
groot,22.646,43.327,65.973
groot,22.542,43.319,65.860
groot,23.472,45.184,68.656
groot,23.501,45.157,68.657
groot,23.544,45.166,68.710
groot,23.440,45.129,68.569
groot,22.694,43.402,66.096
groot,22.636,43.564,66.200
groot,23.486,45.147,68.632
groot,23.488,45.178,68.665
groot,25.273,45.411,70.684
groot,23.534,45.151,68.685
groot,23.468,45.119,68.587
groot,23.460,45.179,68.639
groot,23.466,45.138,68.604
groot,23.440,45.139,68.579
groot,23.531,45.116,68.647
groot,23.471,45.164,68.635
groot,23.454,45.183,68.637
groot,23.480,45.165,68.646
groot,23.420,45.111,68.532
groot,23.501,45.135,68.636
groot,23.520,45.133,68.653
groot,23.609,45.174,68.784
groot,23.505,45.178,68.683
groot,23.712,45.139,68.850
groot,26.047,43.332,69.379
groot,22.723,43.345,66.068
groot,22.668,43.313,65.981
groot,23.492,45.130,68.622
groot,23.494,45.125,68.619
groot,23.554,45.172,68.726
groot,23.495,45.160,68.655
groot,23.529,45.191,68.720
groot,23.536,45.143,68.678
groot,23.617,45.125,68.743
groot,25.178,45.163,70.341
groot,23.481,45.176,68.657
groot,23.477,45.166,68.643
groot,22.596,43.389,65.984
groot,22.544,43.364,65.908
groot,22.583,43.440,66.023
groot,23.498,45.150,68.648
groot,23.502,45.163,68.665
groot,23.461,45.134,68.595
groot,23.467,45.130,68.597
groot,23.692,45.151,68.843
groot,23.564,45.151,68.714
