model,backbone_ms,action_head_ms,total_ms
drif_ov,3184.795,256.415,3441.210
drif_ov,23.418,4.777,28.195
drif_ov,23.428,4.756,28.183
drif_ov,23.531,4.839,28.370
drif_ov,23.429,4.787,28.215
drif_ov,23.494,4.896,28.390
drif_ov,23.382,7.919,31.301
drif_ov,23.318,4.747,28.065
drif_ov,24.161,5.117,29.278
drif_ov,23.438,4.700,28.139
drif_ov,23.753,4.908,28.661
drif_ov,23.334,4.736,28.070
drif_ov,23.440,4.721,28.161
drif_ov,23.735,4.696,28.431
drif_ov,23.408,4.687,28.094
drif_ov,23.573,4.900,28.473
drif_ov,23.801,4.836,28.637
drif_ov,23.625,4.749,28.374
drif_ov,23.371,4.716,28.087
drif_ov,23.346,4.760,28.107
drif_ov,23.385,4.771,28.156
drif_ov,23.445,4.755,28.200
drif_ov,23.488,4.770,28.258
drif_ov,23.589,4.704,28.293
drif_ov,24.356,4.709,29.065
drif_ov,23.350,5.152,28.502
drif_ov,23.368,4.727,28.095
drif_ov,23.378,4.758,28.136
drif_ov,23.413,4.760,28.173
drif_ov,23.498,4.744,28.242
drif_ov,23.436,4.783,28.219
drif_ov,23.394,4.716,28.110
drif_ov,23.780,4.697,28.477
drif_ov,23.406,4.754,28.160
drif_ov,24.588,4.830,29.418
drif_ov,23.410,4.867,28.276
drif_ov,23.513,4.848,28.361
drif_ov,23.412,4.782,28.193
drif_ov,23.513,4.807,28.320
drif_ov,23.269,4.672,27.941
drif_ov,29.628,8.149,37.777
drif_ov,24.016,4.880,28.895
drif_ov,23.377,4.670,28.047
drif_ov,23.460,4.725,28.185
drif_ov,23.463,4.810,28.272
drif_ov,23.434,4.726,28.160
drif_ov,23.374,4.697,28.070
drif_ov,23.392,4.944,28.336
drif_ov,26.772,4.593,31.365
drif_ov,23.380,4.750,28.130
drif_ov,23.481,4.729,28.210
drif_ov,23.576,4.720,28.296
drif_ov,23.380,4.742,28.122
drif_ov,23.425,4.764,28.189
drif_ov,23.338,4.734,28.072
drif_ov,23.492,4.777,28.269
drif_ov,26.857,4.779,31.635
drif_ov,23.483,4.793,28.276
drif_ov,23.558,4.822,28.380
drif_ov,23.383,4.760,28.143
drif_ov,23.362,4.717,28.080
drif_ov,23.388,4.782,28.171
drif_ov,23.443,4.799,28.242
drif_ov,23.406,4.765,28.171
drif_ov,25.135,4.623,29.758
drif_ov,23.422,4.716,28.138
drif_ov,23.331,4.730,28.060
drif_ov,23.873,4.690,28.563
drif_ov,23.388,4.739,28.127
drif_ov,23.571,4.618,28.189
drif_ov,23.467,4.737,28.204
drif_ov,23.492,4.904,28.396
drif_ov,68.394,4.754,73.148
drif_ov,23.418,5.066,28.484
drif_ov,23.380,4.671,28.051
drif_ov,23.571,4.858,28.429
drif_ov,24.588,4.763,29.351
drif_ov,23.414,4.857,28.272
drif_ov,23.481,4.790,28.271
drif_ov,23.471,4.747,28.218
drif_ov,24.113,4.878,28.990
drif_ov,23.373,4.857,28.230
drif_ov,23.433,4.962,28.396
drif_ov,23.457,4.850,28.307
drif_ov,23.628,4.928,28.556
drif_ov,23.394,4.851,28.245
drif_ov,23.922,4.798,28.719
drif_ov,23.318,4.994,28.312
drif_ov,23.384,4.860,28.245
drif_ov,23.606,4.976,28.582
drif_ov,23.443,4.929,28.372
drif_ov,23.468,4.839,28.307
drif_ov,23.535,4.853,28.388
drif_ov,27.407,4.789,32.197
drif_ov,76.999,4.941,81.941
drif_ov,25.412,4.844,30.256
drif_ov,24.967,4.915,29.882
drif_ov,23.885,4.946,28.831
drif_ov,25.517,4.744,30.261
drif_ov,23.471,4.836,28.308
drif_ov,23.372,4.873,28.244
drif_ov,23.386,4.813,28.199
drif_ov,23.424,4.854,28.278
drif_ov,27.105,4.897,32.002
drif_ov,23.416,4.825,28.241
drif_ov,24.582,4.755,29.337
drif_ov,23.351,4.901,28.252
drif_ov,23.362,4.876,28.238
drif_ov,27.226,4.886,32.112
drif_ov,23.657,4.951,28.607
drif_ov,23.532,4.886,28.418
drif_ov,23.553,5.128,28.681
drif_ov,23.471,4.848,28.319
drif_ov,23.395,4.875,28.270
drif_ov,23.415,4.841,28.256
drif_ov,23.483,4.861,28.344
drif_ov,23.460,4.905,28.365
drif_ov,27.698,8.477,36.176
drif_ov,23.488,4.829,28.317
drif_ov,23.523,4.924,28.447
drif_ov,24.343,4.911,29.254
drif_ov,23.458,4.876,28.333
drif_ov,23.422,4.864,28.287
drif_ov,24.637,4.847,29.485
drif_ov,23.342,4.876,28.217
drif_ov,24.084,5.033,29.117
drif_ov,29.402,4.776,34.178
drif_ov,23.450,4.968,28.418
drif_ov,23.596,4.896,28.492
drif_ov,23.412,4.951,28.363
drif_ov,23.493,4.943,28.436
drif_ov,23.458,4.914,28.372
drif_ov,23.507,4.821,28.328
drif_ov,23.407,4.873,28.281
drif_ov,23.429,4.850,28.280
drif_ov,23.551,4.917,28.468
drif_ov,23.400,4.834,28.234
drif_ov,23.434,4.838,28.272
drif_ov,23.536,4.807,28.343
drif_ov,23.426,4.871,28.296
drif_ov,23.415,4.837,28.252
drif_ov,23.457,4.853,28.310
drif_ov,23.479,4.839,28.318
drif_ov,23.509,4.848,28.356
drif_ov,25.541,4.908,30.450
drif_ov,23.376,4.770,28.146
drif_ov,23.354,4.796,28.150
