model,backbone_ms,action_head_ms,total_ms
groot,511.943,115.802,627.745
groot,23.822,44.809,68.631
groot,23.500,44.968,68.468
groot,23.509,46.119,69.629
groot,23.659,44.948,68.608
groot,23.495,44.819,68.314
groot,23.714,44.955,68.669
groot,23.635,44.938,68.573
groot,27.818,44.932,72.750
groot,23.574,44.847,68.420
groot,23.584,44.893,68.477
groot,23.578,44.920,68.498
groot,23.675,44.979,68.654
groot,23.532,44.792,68.323
groot,23.561,44.871,68.432
groot,25.033,44.955,69.988
groot,24.044,44.919,68.963
groot,23.541,45.100,68.640
groot,23.623,44.912,68.535
groot,24.142,44.891,69.033
groot,23.531,44.956,68.486
groot,23.539,44.835,68.374
groot,23.671,44.850,68.521
groot,23.707,44.905,68.612
groot,23.599,44.911,68.510
groot,23.651,44.799,68.451
groot,23.773,44.896,68.669
groot,23.552,44.898,68.450
groot,23.530,44.950,68.480
groot,23.601,44.799,68.400
groot,23.682,44.908,68.591
groot,23.634,44.917,68.551
groot,23.612,44.963,68.576
groot,23.693,44.879,68.572
groot,23.641,46.597,70.237
groot,23.632,44.928,68.560
groot,23.594,44.924,68.518
groot,23.581,44.810,68.391
groot,23.519,44.855,68.373
groot,23.518,44.918,68.436
groot,23.523,44.952,68.475
groot,24.763,44.804,69.567
groot,24.969,44.878,69.847
groot,23.630,44.912,68.542
groot,23.699,45.202,68.901
groot,23.472,45.093,68.565
groot,23.476,45.165,68.642
groot,31.812,45.271,77.083
groot,23.588,45.195,68.783
groot,23.806,45.063,68.869
groot,23.936,45.139,69.076
groot,23.538,45.214,68.752
groot,23.450,53.498,76.947
groot,23.653,45.141,68.794
groot,28.402,47.958,76.359
groot,23.827,45.146,68.973
groot,24.398,45.231,69.629
groot,23.498,45.062,68.560
groot,23.607,45.154,68.761
groot,23.594,45.171,68.765
groot,25.403,45.203,70.606
groot,23.552,45.069,68.621
groot,36.477,45.226,81.703
groot,23.565,53.763,77.328
groot,23.526,45.170,68.696
groot,23.597,45.100,68.697
groot,23.695,45.226,68.921
groot,23.627,45.194,68.821
groot,23.528,46.544,70.072
groot,23.527,45.132,68.658
groot,27.794,45.179,72.974
groot,23.525,45.225,68.751
groot,23.516,45.172,68.688
groot,23.540,45.108,68.648
groot,23.884,45.192,69.076
groot,23.538,45.205,68.743
groot,23.623,45.226,68.849
groot,23.539,45.177,68.716
groot,23.541,45.140,68.682
groot,23.639,45.162,68.801
groot,23.596,45.154,68.750
groot,23.668,45.204,68.872
groot,23.595,45.150,68.744
groot,23.518,45.204,68.722
groot,23.503,45.187,68.690
groot,24.024,45.219,69.243
groot,23.661,45.144,68.804
groot,23.482,45.180,68.661
groot,23.696,45.201,68.897
groot,23.661,45.180,68.841
groot,23.540,45.153,68.693
groot,23.658,45.159,68.817
groot,23.507,45.160,68.667
groot,23.550,45.214,68.765
groot,23.739,45.192,68.931
groot,24.108,45.192,69.300
groot,23.565,45.198,68.763
groot,23.657,45.162,68.820
groot,23.839,45.126,68.964
groot,23.572,46.368,69.940
groot,23.581,45.198,68.779
groot,23.531,45.181,68.712
groot,23.617,45.134,68.752
groot,24.163,45.157,69.319
groot,23.461,45.164,68.625
groot,23.557,45.151,68.709
groot,23.603,45.142,68.745
groot,23.596,45.193,68.790
groot,23.607,45.158,68.766
groot,23.630,45.158,68.788
groot,29.919,45.575,75.494
groot,23.524,45.186,68.710
groot,29.048,45.187,74.236
groot,27.974,45.198,73.172
groot,23.875,45.142,69.017
groot,23.576,45.187,68.763
groot,23.581,45.185,68.767
groot,24.311,49.206,73.517
groot,23.587,45.139,68.727
groot,23.820,45.197,69.018
groot,23.525,45.155,68.680
groot,23.668,45.241,68.909
groot,23.673,48.021,71.694
groot,23.666,45.372,69.038
groot,23.898,45.326,69.224
groot,23.654,45.276,68.931
groot,23.609,45.168,68.777
groot,23.573,45.327,68.900
groot,23.596,45.198,68.794
groot,23.724,45.334,69.057
groot,23.548,45.244,68.792
groot,23.522,45.202,68.724
groot,23.530,45.170,68.700
groot,23.428,44.791,68.220
groot,23.343,44.788,68.131
groot,23.671,45.244,68.915
groot,23.616,53.747,77.364
groot,23.665,45.160,68.826
groot,23.746,45.171,68.917
groot,23.492,45.172,68.664
groot,23.708,45.226,68.934
groot,23.632,45.191,68.822
groot,23.539,45.135,68.674
groot,23.641,45.199,68.840
groot,26.176,46.631,72.807
groot,23.767,45.179,68.946
groot,23.593,45.223,68.816
groot,25.244,49.323,74.567
groot,23.601,45.157,68.758
