model,backbone_ms,action_head_ms,total_ms
drif_ov,252.651,15.421,268.072
drif_ov,23.501,4.800,28.301
drif_ov,24.853,7.162,32.015
drif_ov,23.514,4.874,28.388
drif_ov,23.505,4.850,28.355
drif_ov,23.599,4.865,28.464
drif_ov,23.435,4.834,28.269
drif_ov,23.481,4.887,28.368
drif_ov,23.552,4.877,28.429
drif_ov,23.566,4.877,28.443
drif_ov,23.772,4.806,28.578
drif_ov,23.509,4.857,28.366
drif_ov,23.581,4.876,28.457
drif_ov,23.565,4.884,28.449
drif_ov,23.588,4.899,28.486
drif_ov,23.506,4.920,28.426
drif_ov,23.639,4.871,28.510
drif_ov,23.499,4.859,28.357
drif_ov,23.494,4.845,28.339
drif_ov,23.614,4.899,28.512
drif_ov,23.457,4.844,28.301
drif_ov,24.075,5.800,29.876
drif_ov,23.441,4.818,28.259
drif_ov,23.461,4.886,28.347
drif_ov,23.582,4.843,28.425
drif_ov,23.450,4.826,28.276
drif_ov,23.431,4.867,28.298
drif_ov,23.634,4.937,28.571
drif_ov,23.469,4.858,28.327
drif_ov,23.494,4.816,28.310
drif_ov,23.524,4.859,28.383
drif_ov,23.548,4.851,28.399
drif_ov,34.432,4.766,39.198
drif_ov,24.121,4.745,28.866
drif_ov,23.427,4.801,28.228
drif_ov,23.428,4.834,28.262
drif_ov,23.823,4.825,28.648
drif_ov,23.425,4.820,28.245
drif_ov,25.964,4.880,30.844
drif_ov,23.447,4.844,28.291
drif_ov,23.484,4.818,28.302
drif_ov,23.471,4.824,28.294
drif_ov,23.459,4.849,28.308
drif_ov,23.549,4.843,28.392
drif_ov,23.599,4.905,28.504
drif_ov,23.567,4.891,28.458
drif_ov,23.553,4.898,28.452
drif_ov,23.572,4.764,28.337
drif_ov,23.519,4.863,28.382
drif_ov,23.494,4.828,28.322
drif_ov,23.487,4.872,28.359
drif_ov,23.688,4.876,28.564
drif_ov,23.516,4.891,28.407
drif_ov,23.748,4.839,28.588
drif_ov,24.112,4.821,28.933
drif_ov,23.476,4.852,28.328
drif_ov,23.562,5.967,29.530
drif_ov,23.482,4.791,28.273
drif_ov,23.664,4.957,28.620
drif_ov,23.480,4.850,28.330
drif_ov,23.462,4.823,28.285
drif_ov,23.501,4.995,28.496
drif_ov,23.565,4.835,28.400
drif_ov,23.751,4.880,28.631
drif_ov,23.466,4.782,28.249
drif_ov,23.446,4.812,28.258
drif_ov,23.621,4.854,28.475
drif_ov,23.497,4.891,28.388
drif_ov,31.424,4.942,36.365
drif_ov,23.452,5.006,28.458
drif_ov,34.013,6.013,40.026
drif_ov,23.590,4.828,28.418
drif_ov,23.637,4.845,28.482
drif_ov,23.455,4.825,28.280
drif_ov,23.426,4.854,28.280
drif_ov,23.471,4.834,28.305
drif_ov,24.464,4.792,29.255
drif_ov,23.611,4.772,28.382
drif_ov,23.467,4.819,28.286
drif_ov,23.575,4.820,28.395
drif_ov,23.535,4.891,28.425
drif_ov,23.546,4.817,28.364
drif_ov,23.443,4.821,28.264
drif_ov,23.496,4.841,28.337
drif_ov,23.482,4.856,28.338
drif_ov,25.649,4.801,30.451
drif_ov,23.518,4.798,28.316
drif_ov,30.952,4.766,35.718
drif_ov,23.719,4.724,28.443
drif_ov,23.595,4.887,28.482
drif_ov,23.440,4.699,28.139
drif_ov,23.495,4.825,28.320
drif_ov,23.433,4.843,28.276
