model,backbone_ms,action_head_ms,total_ms
groot,793.957,100.585,894.542
groot,23.697,49.525,73.222
groot,23.762,45.227,68.989
groot,23.660,45.225,68.884
groot,23.626,45.299,68.924
groot,23.604,45.305,68.909
groot,23.668,45.277,68.945
groot,23.581,45.272,68.853
groot,23.628,45.245,68.874
groot,23.592,45.285,68.877
groot,23.582,45.266,68.847
groot,23.656,45.260,68.916
groot,24.406,45.262,69.668
groot,23.582,45.229,68.811
groot,23.532,45.264,68.797
groot,23.603,45.253,68.856
groot,23.854,45.212,69.067
groot,23.572,45.242,68.814
groot,23.694,45.300,68.995
groot,24.565,45.245,69.810
groot,23.546,45.476,69.022
groot,23.638,45.246,68.884
groot,31.231,46.236,77.467
groot,23.575,45.292,68.867
groot,23.753,45.248,69.001
groot,23.637,45.257,68.894
groot,23.632,45.240,68.872
groot,23.607,45.275,68.881
groot,23.527,45.265,68.792
groot,23.680,45.266,68.946
groot,23.588,45.223,68.811
groot,23.741,45.240,68.981
groot,23.619,45.332,68.951
groot,23.595,45.288,68.883
groot,23.524,45.230,68.754
groot,23.799,45.256,69.055
groot,35.041,45.246,80.287
groot,23.761,45.294,69.055
groot,23.605,45.233,68.838
groot,23.605,45.253,68.858
groot,23.631,46.610,70.241
groot,23.975,45.260,69.235
groot,23.604,45.236,68.840
groot,23.585,45.257,68.842
groot,29.112,45.317,74.429
groot,23.589,45.270,68.859
groot,24.530,45.253,69.782
groot,23.642,53.886,77.528
groot,23.496,45.259,68.755
groot,23.665,45.298,68.963
groot,23.493,44.923,68.416
groot,23.532,45.241,68.773
groot,23.665,45.336,69.001
groot,23.655,45.291,68.947
groot,23.584,45.311,68.896
groot,23.725,45.278,69.003
groot,23.598,45.247,68.845
groot,23.584,45.500,69.084
groot,23.521,45.278,68.800
groot,23.701,45.302,69.002
groot,23.547,45.300,68.847
groot,24.142,45.269,69.411
groot,23.618,45.235,68.853
groot,23.587,45.291,68.878
groot,23.592,45.294,68.886
groot,23.843,45.290,69.134
groot,23.467,47.085,70.553
groot,23.742,45.321,69.063
groot,23.558,45.247,68.805
groot,23.737,45.255,68.992
groot,23.598,45.227,68.825
groot,23.530,45.270,68.799
groot,23.583,45.242,68.826
groot,24.691,45.274,69.964
groot,29.543,46.930,76.473
groot,23.637,45.235,68.872
groot,23.536,45.272,68.808
groot,33.434,45.271,78.705
groot,26.195,45.324,71.519
groot,24.945,52.151,77.096
groot,23.756,45.270,69.027
groot,23.607,45.302,68.909
groot,26.181,45.220,71.401
groot,27.898,45.299,73.197
groot,23.551,49.517,73.068
groot,23.643,46.624,70.268
groot,23.685,45.281,68.966
groot,28.705,47.940,76.645
groot,23.546,45.232,68.779
groot,23.672,45.270,68.942
groot,23.717,45.244,68.961
groot,23.603,45.265,68.868
groot,23.596,45.244,68.840
groot,23.537,45.296,68.833
groot,23.673,45.286,68.959
groot,23.619,45.272,68.891
groot,23.688,45.252,68.939
groot,23.937,45.292,69.228
groot,23.585,45.259,68.844
groot,23.841,45.314,69.155
groot,23.898,45.255,69.153
groot,23.539,45.254,68.794
groot,23.652,45.319,68.971
groot,23.623,45.310,68.933
groot,23.554,45.258,68.812
groot,23.682,45.370,69.053
groot,23.918,45.227,69.144
groot,23.645,45.274,68.919
groot,23.520,45.268,68.787
groot,24.211,45.564,69.776
groot,23.736,45.235,68.971
groot,23.598,45.280,68.879
groot,23.568,45.353,68.921
groot,23.581,45.257,68.839
groot,23.682,45.280,68.962
groot,23.664,45.307,68.971
groot,23.832,45.336,69.168
groot,23.657,45.274,68.932
groot,23.587,45.278,68.865
groot,23.621,45.260,68.880
groot,23.474,44.933,68.407
groot,23.410,44.939,68.349
groot,23.596,45.256,68.852
groot,23.646,53.705,77.350
groot,23.934,45.317,69.250
groot,23.681,45.301,68.983
groot,27.536,45.498,73.034
groot,23.734,45.305,69.039
groot,23.723,45.294,69.017
groot,23.561,45.375,68.936
groot,23.551,45.342,68.894
groot,23.526,45.275,68.802
groot,23.710,45.278,68.989
groot,23.831,45.248,69.079
groot,23.527,45.259,68.786
groot,24.427,53.664,78.090
groot,23.559,45.245,68.804
groot,23.745,45.278,69.023
groot,23.630,45.240,68.870
groot,23.643,45.298,68.941
groot,26.874,45.269,72.143
groot,23.667,45.311,68.978
groot,23.616,45.257,68.873
groot,23.638,45.269,68.907
groot,23.631,45.278,68.908
groot,23.635,53.736,77.371
groot,23.622,45.278,68.900
groot,23.669,45.307,68.976
groot,23.628,45.246,68.874
groot,23.509,45.261,68.770
groot,23.808,45.252,69.061
groot,27.880,45.306,73.186
groot,27.300,45.243,72.542
groot,24.224,45.235,69.459
groot,23.952,45.260,69.212
groot,23.508,45.325,68.832
groot,27.879,45.311,73.190
groot,24.840,45.315,70.155
groot,23.567,45.247,68.813
groot,23.687,45.290,68.977
groot,23.596,49.551,73.147
groot,23.638,45.272,68.910
groot,23.654,45.253,68.907
groot,23.711,45.259,68.969
groot,23.548,45.243,68.791
groot,23.558,45.294,68.852
groot,23.527,45.222,68.748
groot,31.743,46.940,78.683
groot,23.539,45.248,68.787
groot,23.588,45.257,68.845
groot,23.576,45.254,68.830
groot,23.639,45.265,68.903
groot,23.599,45.280,68.879
groot,23.539,45.262,68.801
groot,23.712,45.257,68.969
groot,23.699,46.758,70.457
groot,23.548,45.281,68.829
groot,23.712,45.246,68.958
groot,23.688,45.240,68.928
groot,23.622,45.244,68.865
groot,23.583,45.244,68.827
groot,23.734,45.291,69.025
groot,23.600,45.212,68.812
groot,23.582,45.264,68.846
groot,23.466,45.243,68.709
groot,23.709,45.254,68.964
groot,23.618,45.246,68.864
groot,23.818,45.252,69.070
groot,23.627,45.285,68.911
groot,23.912,45.298,69.209
groot,23.661,45.245,68.905
groot,23.576,45.276,68.853
groot,23.497,45.269,68.766
groot,23.666,45.267,68.934
groot,23.535,45.291,68.827
groot,26.798,45.261,72.059
groot,23.549,45.226,68.775
groot,23.737,45.280,69.017
groot,23.534,45.205,68.739
groot,24.013,45.288,69.301
groot,23.665,45.243,68.907
groot,23.629,45.297,68.926
groot,23.618,45.235,68.854
groot,24.182,45.376,69.559
groot,23.594,45.238,68.832
groot,23.617,45.299,68.916
groot,24.213,45.262,69.475
groot,23.610,45.285,68.895
groot,23.562,45.293,68.856
groot,23.574,45.270,68.844
groot,31.400,45.234,76.634
groot,23.540,45.289,68.830
groot,23.571,45.291,68.862
groot,23.592,45.253,68.845
groot,23.628,45.233,68.861
groot,23.547,45.240,68.787
groot,23.698,45.236,68.934
groot,23.601,45.277,68.877
groot,23.632,45.251,68.882
groot,23.666,45.272,68.938
groot,23.552,49.698,73.251
groot,26.677,45.325,72.002
groot,23.575,45.237,68.812
groot,23.532,45.318,68.850
groot,26.222,45.251,71.473
groot,23.552,45.276,68.828
groot,23.625,45.245,68.870
groot,23.760,45.253,69.013
groot,23.639,49.515,73.155
groot,23.744,45.262,69.006
groot,23.636,45.267,68.903
