model,backbone_ms,action_head_ms,total_ms
drif_ov,273.223,14.696,287.919
drif_ov,24.317,4.798,29.114
drif_ov,23.414,4.862,28.276
drif_ov,23.549,4.734,28.283
drif_ov,29.097,4.849,33.946
drif_ov,23.551,4.822,28.373
drif_ov,23.520,4.802,28.322
drif_ov,23.604,4.803,28.407
drif_ov,23.600,4.804,28.404
drif_ov,23.460,4.715,28.175
drif_ov,32.241,4.743,36.984
drif_ov,23.497,4.809,28.306
drif_ov,23.678,4.786,28.463
drif_ov,23.611,4.841,28.452
drif_ov,23.536,4.916,28.452
drif_ov,23.385,4.708,28.093
drif_ov,23.510,4.740,28.249
drif_ov,23.555,4.806,28.362
drif_ov,23.542,4.863,28.404
drif_ov,26.913,4.902,31.816
drif_ov,23.547,4.875,28.423
drif_ov,26.430,4.710,31.140
drif_ov,23.516,4.766,28.282
drif_ov,23.646,4.776,28.422
drif_ov,23.725,4.821,28.546
drif_ov,23.476,4.770,28.246
drif_ov,23.561,4.821,28.383
drif_ov,23.569,4.874,28.443
drif_ov,27.280,4.670,31.950
drif_ov,23.506,4.755,28.261
drif_ov,31.116,4.962,36.078
drif_ov,23.556,4.858,28.414
drif_ov,23.533,4.768,28.301
drif_ov,23.543,4.874,28.417
drif_ov,23.571,7.830,31.401
drif_ov,23.621,4.956,28.577
drif_ov,23.611,4.738,28.349
drif_ov,23.600,4.832,28.431
drif_ov,23.685,4.916,28.601
drif_ov,23.543,4.870,28.412
drif_ov,24.053,4.905,28.958
drif_ov,23.520,4.856,28.376
drif_ov,23.536,4.825,28.362
drif_ov,23.567,4.794,28.360
drif_ov,24.768,4.793,29.561
drif_ov,23.550,5.295,28.845
drif_ov,24.286,6.031,30.317
drif_ov,23.532,4.826,28.358
drif_ov,23.499,5.474,28.973
drif_ov,23.585,4.820,28.405
drif_ov,23.520,4.865,28.385
drif_ov,23.538,4.805,28.343
drif_ov,23.648,4.841,28.489
drif_ov,23.451,4.771,28.223
drif_ov,23.562,4.887,28.449
drif_ov,23.577,4.822,28.399
drif_ov,23.557,4.903,28.459
drif_ov,23.649,4.974,28.623
drif_ov,24.398,4.754,29.152
drif_ov,23.607,4.816,28.423
drif_ov,23.612,4.875,28.487
drif_ov,23.555,4.873,28.428
drif_ov,23.505,4.819,28.324
drif_ov,23.624,4.791,28.414
drif_ov,26.918,4.832,31.750
drif_ov,23.569,4.852,28.421
drif_ov,23.510,4.828,28.338
drif_ov,23.499,4.831,28.330
drif_ov,23.561,4.780,28.341
drif_ov,23.535,4.851,28.386
drif_ov,23.531,4.873,28.404
drif_ov,23.575,4.878,28.453
drif_ov,24.291,5.032,29.323
drif_ov,23.736,4.999,28.735
drif_ov,23.599,4.912,28.510
drif_ov,24.170,4.837,29.006
drif_ov,23.477,4.821,28.298
drif_ov,23.673,4.864,28.537
drif_ov,23.648,4.805,28.453
drif_ov,23.480,4.798,28.278
drif_ov,23.478,4.815,28.293
drif_ov,23.627,4.834,28.461
drif_ov,23.546,4.992,28.538
drif_ov,23.725,4.787,28.512
drif_ov,23.656,4.915,28.570
drif_ov,23.726,4.896,28.622
drif_ov,23.768,4.968,28.737
drif_ov,23.559,4.842,28.400
drif_ov,23.680,5.129,28.809
drif_ov,23.633,4.964,28.597
drif_ov,23.525,4.856,28.381
drif_ov,23.449,4.876,28.324
drif_ov,23.577,4.958,28.535
drif_ov,23.573,4.833,28.406
drif_ov,23.586,4.899,28.485
drif_ov,23.660,4.907,28.567
drif_ov,23.635,4.846,28.481
drif_ov,23.666,4.807,28.472
drif_ov,23.494,4.766,28.260
