model,backbone_ms,action_head_ms,total_ms
groot,405.125,64.121,469.246
groot,27.749,48.123,75.872
groot,23.989,45.204,69.193
groot,23.448,45.209,68.657
groot,23.614,45.189,68.802
groot,23.463,45.179,68.642
groot,23.553,45.169,68.722
groot,23.528,45.936,69.465
groot,23.595,45.200,68.794
groot,23.445,45.190,68.636
groot,23.533,45.235,68.768
groot,23.582,45.230,68.812
groot,23.609,45.200,68.808
groot,23.620,45.217,68.837
groot,23.616,45.222,68.838
groot,23.506,45.197,68.702
groot,23.511,45.178,68.689
groot,23.554,45.777,69.331
groot,28.830,48.047,76.877
groot,23.406,45.233,68.639
groot,23.624,45.183,68.807
groot,23.449,45.174,68.624
groot,23.436,45.208,68.644
groot,23.556,45.168,68.723
groot,23.554,45.163,68.717
groot,23.480,45.141,68.622
groot,23.472,45.175,68.648
groot,23.494,45.181,68.675
groot,23.519,45.176,68.695
groot,23.608,45.160,68.769
groot,23.636,45.188,68.823
groot,23.603,45.152,68.755
groot,23.412,45.159,68.571
groot,23.587,45.170,68.758
groot,23.435,45.175,68.610
groot,23.325,48.228,71.553
groot,23.515,45.192,68.707
groot,23.437,45.183,68.620
groot,23.678,45.192,68.870
groot,23.469,45.187,68.656
groot,23.534,45.204,68.738
groot,25.030,45.188,70.218
groot,23.517,45.194,68.711
groot,23.478,45.181,68.659
groot,23.745,45.187,68.932
groot,23.476,47.171,70.647
groot,23.500,45.198,68.699
groot,23.816,45.150,68.966
groot,23.453,45.167,68.620
groot,26.864,45.196,72.060
groot,23.882,45.170,69.053
groot,23.566,45.204,68.769
groot,23.538,45.202,68.740
groot,23.493,45.206,68.699
groot,23.533,45.170,68.702
groot,23.570,45.194,68.764
groot,23.433,45.188,68.621
groot,23.573,52.934,76.507
groot,23.636,45.178,68.814
groot,23.548,45.179,68.727
groot,23.478,45.166,68.644
groot,23.721,45.185,68.906
groot,23.392,45.194,68.586
groot,23.440,45.157,68.597
groot,23.496,45.209,68.705
groot,23.405,45.153,68.558
groot,23.536,45.204,68.740
groot,23.520,45.168,68.688
groot,23.539,45.165,68.704
groot,23.499,45.163,68.662
groot,23.416,45.175,68.591
groot,23.555,45.180,68.734
groot,33.107,45.188,78.294
groot,27.228,48.822,76.050
groot,23.460,45.167,68.626
groot,23.593,45.199,68.791
groot,23.656,45.173,68.830
groot,23.414,47.977,71.391
groot,23.519,45.207,68.726
groot,23.481,45.160,68.642
groot,23.445,52.522,75.967
groot,23.590,45.192,68.782
groot,23.460,45.173,68.633
groot,23.472,45.168,68.640
groot,23.431,47.710,71.141
groot,23.407,45.210,68.617
groot,23.492,45.208,68.701
groot,23.499,45.215,68.714
groot,23.533,45.163,68.696
groot,23.426,45.222,68.649
groot,23.467,45.192,68.659
groot,23.431,45.232,68.663
groot,23.441,45.153,68.594
groot,23.504,45.203,68.707
groot,23.530,45.172,68.702
