model,backbone_ms,action_head_ms,total_ms
groot,184.386,50.509,234.895
groot,24.427,45.195,69.622
groot,23.794,45.171,68.965
groot,23.802,45.198,69.000
groot,23.823,45.178,69.001
groot,23.771,46.492,70.263
groot,23.797,45.168,68.965
groot,23.792,45.185,68.977
groot,23.804,45.141,68.945
groot,23.994,45.209,69.203
groot,23.726,45.202,68.928
groot,23.874,45.243,69.117
groot,23.856,45.194,69.050
groot,23.897,45.185,69.082
groot,23.841,45.155,68.995
groot,23.850,45.229,69.079
groot,23.068,43.400,66.468
groot,22.983,43.424,66.407
groot,23.763,45.199,68.963
groot,23.844,45.152,68.995
groot,24.094,45.175,69.269
groot,23.905,45.191,69.096
groot,23.873,45.180,69.053
groot,23.818,45.215,69.032
groot,23.829,45.167,68.996
groot,23.724,45.188,68.911
groot,23.782,45.189,68.971
groot,23.812,45.167,68.979
groot,24.035,45.143,69.178
groot,23.810,45.147,68.957
groot,23.883,45.173,69.056
groot,23.803,45.140,68.942
groot,23.695,45.179,68.874
groot,23.855,45.151,69.007
groot,23.843,52.559,76.403
groot,23.816,45.147,68.963
groot,23.766,45.173,68.939
groot,23.852,45.165,69.018
groot,23.757,45.162,68.918
groot,23.762,45.143,68.905
groot,23.826,47.661,71.488
groot,23.868,45.185,69.053
groot,30.475,45.163,75.638
groot,23.789,45.154,68.943
groot,24.013,45.167,69.180
groot,27.176,45.183,72.358
groot,23.891,46.392,70.283
groot,23.866,45.155,69.021
groot,24.249,45.154,69.403
groot,23.846,45.169,69.015
groot,23.770,45.135,68.906
groot,23.871,44.892,68.763
groot,23.789,44.920,68.710
groot,23.886,44.922,68.808
groot,23.867,44.925,68.791
groot,23.787,44.884,68.671
groot,31.051,45.539,76.590
groot,23.746,44.955,68.701
groot,23.878,44.901,68.779
groot,23.806,44.914,68.720
groot,23.747,44.982,68.729
groot,23.751,45.978,69.729
groot,23.586,44.392,67.978
groot,23.710,44.892,68.603
groot,23.799,44.930,68.729
groot,23.742,44.927,68.668
groot,23.777,45.207,68.984
groot,31.395,45.237,76.632
groot,24.118,47.913,72.032
groot,23.936,45.203,69.139
groot,24.213,45.188,69.401
groot,23.831,45.246,69.078
groot,23.729,45.167,68.896
groot,24.416,45.231,69.647
groot,23.833,46.507,70.340
groot,23.786,52.412,76.198
groot,23.950,45.174,69.124
groot,23.881,45.259,69.140
groot,23.726,45.218,68.944
groot,23.858,45.210,69.068
groot,27.320,45.184,72.503
groot,23.750,45.229,68.979
groot,23.903,45.181,69.083
groot,23.826,45.232,69.058
groot,23.827,45.197,69.024
groot,24.113,52.251,76.364
groot,23.884,45.152,69.036
groot,23.870,45.226,69.096
groot,24.066,45.164,69.230
groot,24.107,45.250,69.356
groot,23.841,45.157,68.999
groot,23.735,45.198,68.933
groot,23.689,44.686,68.375
groot,23.808,46.696,70.504
groot,30.451,45.155,75.606
groot,23.682,45.193,68.875
groot,23.760,45.185,68.945
groot,23.835,47.329,71.164
groot,23.754,49.082,72.836
groot,25.255,45.144,70.399
groot,23.797,45.215,69.012
groot,23.900,45.171,69.071
groot,23.706,45.202,68.908
groot,23.774,45.207,68.981
groot,24.047,45.162,69.209
groot,23.906,45.178,69.084
groot,23.758,45.191,68.949
groot,23.711,45.157,68.868
groot,23.898,46.859,70.758
groot,24.221,45.307,69.527
groot,23.779,45.187,68.966
groot,23.787,45.166,68.953
groot,23.882,45.165,69.047
groot,24.034,45.307,69.342
groot,23.725,52.482,76.206
groot,23.734,45.200,68.933
groot,23.895,45.175,69.070
groot,25.138,45.204,70.342
groot,23.765,45.169,68.934
groot,23.827,45.135,68.962
groot,25.928,45.240,71.168
groot,23.779,45.151,68.930
groot,23.991,45.161,69.152
groot,23.865,45.160,69.025
groot,23.780,45.191,68.972
groot,23.889,45.194,69.083
groot,23.857,45.157,69.014
groot,23.786,45.188,68.974
groot,23.778,45.145,68.923
groot,23.994,47.748,71.742
groot,23.932,45.239,69.171
groot,23.810,45.161,68.971
groot,28.624,45.377,74.001
groot,23.819,45.165,68.984
groot,23.767,45.168,68.936
groot,23.724,45.159,68.883
groot,23.757,45.189,68.947
groot,23.957,45.167,69.124
groot,23.890,45.225,69.115
groot,23.903,45.168,69.071
groot,23.728,45.185,68.913
groot,23.752,45.201,68.953
groot,23.672,45.169,68.841
groot,23.600,44.646,68.247
groot,23.969,46.323,70.292
groot,23.840,45.246,69.086
groot,23.691,45.175,68.866
groot,23.721,45.206,68.927
groot,30.549,45.201,75.750
groot,23.785,45.173,68.958
groot,23.928,45.163,69.091
groot,24.120,45.144,69.264
groot,23.896,52.153,76.049
groot,23.912,46.947,70.859
groot,23.842,45.153,68.995
groot,23.906,45.175,69.081
groot,24.044,45.211,69.255
groot,23.932,45.199,69.131
groot,23.038,43.173,66.211
groot,23.011,43.148,66.159
groot,23.727,44.940,68.666
groot,23.807,44.893,68.700
groot,25.081,47.437,72.518
groot,23.879,44.889,68.769
groot,23.786,44.917,68.702
groot,23.921,44.918,68.839
groot,23.745,44.887,68.632
groot,23.772,44.905,68.677
groot,23.862,44.944,68.806
groot,23.692,44.916,68.608
groot,24.219,44.884,69.103
groot,23.758,44.888,68.646
groot,23.898,44.946,68.845
groot,23.736,44.920,68.656
groot,23.818,44.896,68.714
groot,23.781,44.901,68.683
groot,23.765,44.902,68.668
groot,24.004,44.915,68.919
groot,23.752,54.674,78.426
groot,23.795,44.898,68.693
groot,23.885,44.936,68.822
groot,23.971,45.055,69.027
groot,23.700,44.920,68.620
groot,23.710,44.873,68.582
groot,24.384,44.652,69.036
groot,23.639,44.605,68.244
groot,23.720,44.953,68.673
groot,23.799,44.934,68.732
groot,23.724,44.941,68.665
groot,24.073,44.941,69.015
groot,23.779,44.907,68.687
groot,23.827,44.900,68.727
groot,23.923,44.919,68.842
groot,23.803,44.902,68.705
groot,23.988,45.039,69.027
groot,23.772,44.888,68.660
groot,23.781,44.950,68.731
groot,23.778,44.911,68.689
