model,backbone_ms,action_head_ms,total_ms
drif_ov,184.885,52.913,237.798
drif_ov,23.520,4.893,28.413
drif_ov,23.553,4.858,28.411
drif_ov,27.527,4.836,32.363
drif_ov,23.523,4.814,28.337
drif_ov,23.613,4.886,28.499
drif_ov,23.566,4.853,28.419
drif_ov,23.590,4.842,28.432
drif_ov,23.568,4.820,28.388
drif_ov,23.613,4.810,28.423
drif_ov,23.660,4.841,28.501
drif_ov,23.591,4.838,28.429
drif_ov,23.551,4.841,28.392
drif_ov,23.045,4.870,27.915
drif_ov,22.657,4.751,27.408
drif_ov,22.661,4.780,27.441
drif_ov,23.854,5.097,28.951
drif_ov,23.520,4.999,28.519
drif_ov,23.647,4.849,28.497
drif_ov,23.579,4.923,28.502
drif_ov,23.508,4.819,28.326
drif_ov,23.638,4.812,28.450
drif_ov,23.723,4.789,28.513
drif_ov,23.563,4.807,28.371
drif_ov,23.555,4.798,28.353
drif_ov,23.626,4.809,28.435
drif_ov,24.749,5.033,29.783
drif_ov,23.686,4.850,28.536
drif_ov,23.499,4.858,28.357
drif_ov,23.509,4.808,28.317
drif_ov,23.591,4.891,28.482
drif_ov,27.358,4.915,32.273
drif_ov,23.571,4.844,28.415
drif_ov,23.542,4.873,28.415
drif_ov,23.474,4.817,28.292
drif_ov,23.577,4.806,28.382
drif_ov,27.534,5.239,32.773
drif_ov,23.619,4.821,28.440
drif_ov,23.576,4.956,28.533
drif_ov,25.242,5.569,30.811
drif_ov,23.681,4.845,28.526
drif_ov,23.645,5.060,28.705
drif_ov,23.545,4.789,28.334
drif_ov,23.623,4.923,28.546
drif_ov,23.548,4.834,28.383
drif_ov,23.590,4.825,28.415
drif_ov,23.753,4.956,28.709
drif_ov,23.535,4.807,28.342
drif_ov,23.561,4.816,28.377
drif_ov,23.585,4.879,28.464
drif_ov,24.012,4.837,28.849
drif_ov,23.785,5.009,28.794
drif_ov,27.354,6.887,34.241
drif_ov,23.769,4.807,28.576
drif_ov,23.577,4.842,28.419
drif_ov,23.583,4.834,28.417
drif_ov,24.836,7.592,32.428
drif_ov,23.545,4.800,28.345
drif_ov,23.546,5.154,28.701
drif_ov,23.529,4.821,28.351
drif_ov,23.598,4.855,28.453
drif_ov,23.576,4.799,28.375
drif_ov,23.554,4.787,28.341
drif_ov,24.901,4.824,29.725
drif_ov,27.605,4.970,32.575
drif_ov,22.724,4.779,27.503
drif_ov,23.533,4.815,28.348
drif_ov,23.569,4.912,28.481
drif_ov,23.604,4.947,28.551
drif_ov,24.788,4.830,29.618
drif_ov,23.569,4.832,28.401
drif_ov,22.823,4.851,27.674
drif_ov,26.244,4.823,31.067
drif_ov,22.861,4.791,27.652
drif_ov,23.624,4.863,28.487
drif_ov,23.564,4.947,28.510
drif_ov,23.607,4.840,28.448
drif_ov,23.622,4.890,28.512
drif_ov,23.528,4.860,28.388
drif_ov,23.463,4.799,28.262
drif_ov,23.537,4.811,28.348
drif_ov,23.728,4.784,28.512
drif_ov,23.585,4.789,28.373
drif_ov,23.533,5.921,29.454
drif_ov,23.492,4.845,28.337
drif_ov,22.697,4.733,27.430
drif_ov,22.798,4.858,27.656
drif_ov,22.919,4.763,27.681
drif_ov,23.562,4.813,28.375
drif_ov,23.578,4.774,28.352
drif_ov,23.504,4.868,28.372
drif_ov,22.925,4.837,27.761
drif_ov,22.881,4.771,27.651
drif_ov,23.544,4.796,28.340
drif_ov,23.553,4.816,28.369
drif_ov,23.593,4.837,28.429
drif_ov,23.626,4.836,28.461
drif_ov,23.558,4.801,28.359
drif_ov,23.578,4.771,28.349
drif_ov,23.527,4.880,28.406
drif_ov,23.553,4.851,28.404
drif_ov,23.723,4.815,28.538
drif_ov,23.574,4.838,28.412
drif_ov,23.601,4.892,28.493
drif_ov,23.619,4.849,28.468
drif_ov,23.629,4.803,28.432
drif_ov,23.524,4.834,28.358
drif_ov,23.641,4.940,28.581
drif_ov,23.615,4.826,28.441
drif_ov,23.595,5.469,29.065
drif_ov,23.770,4.859,28.629
drif_ov,32.481,5.657,38.138
drif_ov,27.938,4.813,32.751
drif_ov,23.690,4.854,28.544
drif_ov,23.558,4.824,28.382
drif_ov,23.545,4.814,28.360
drif_ov,23.702,4.798,28.500
