model,backbone_ms,action_head_ms,total_ms
drifting,217.461,14.762,232.223
drifting,23.871,4.916,28.787
drifting,24.604,4.726,29.330
drifting,23.855,4.759,28.615
drifting,24.224,5.815,30.039
drifting,23.568,4.711,28.280
drifting,25.249,5.222,30.471
drifting,24.000,4.829,28.829
drifting,23.968,4.672,28.640
drifting,23.646,4.669,28.315
drifting,24.134,4.787,28.920
drifting,23.623,4.762,28.385
drifting,23.602,4.880,28.483
drifting,28.557,4.788,33.345
drifting,23.556,4.747,28.302
drifting,24.078,5.329,29.408
drifting,24.038,5.375,29.413
drifting,25.500,4.891,30.391
drifting,25.574,4.940,30.513
drifting,23.506,4.676,28.182
drifting,23.508,4.705,28.214
drifting,28.831,4.762,33.593
drifting,23.629,5.092,28.721
drifting,23.449,4.752,28.201
drifting,23.605,4.723,28.329
drifting,23.775,4.705,28.479
drifting,24.335,4.890,29.225
drifting,23.216,4.626,27.842
drifting,23.211,4.663,27.874
drifting,24.022,4.719,28.741
drifting,23.516,6.148,29.665
drifting,23.430,4.663,28.093
drifting,23.408,4.721,28.129
drifting,23.453,4.679,28.132
drifting,24.197,4.735,28.932
drifting,23.477,4.661,28.138
drifting,23.489,4.669,28.158
drifting,24.933,4.696,29.629
drifting,23.694,4.822,28.516
drifting,25.132,5.639,30.771
drifting,22.924,4.605,27.529
drifting,22.966,4.815,27.780
drifting,23.419,4.861,28.280
drifting,23.432,4.684,28.116
drifting,23.461,4.690,28.151
drifting,24.025,4.670,28.695
drifting,23.443,4.746,28.189
drifting,22.653,4.598,27.252
drifting,22.784,4.817,27.600
drifting,22.854,4.621,27.475
drifting,24.073,4.735,28.807
drifting,23.467,4.627,28.094
drifting,23.492,4.655,28.147
drifting,23.644,4.690,28.334
drifting,23.437,4.718,28.155
drifting,23.506,4.671,28.178
drifting,23.577,4.661,28.238
drifting,23.452,4.658,28.110
drifting,23.437,4.704,28.141
drifting,23.773,4.634,28.406
drifting,22.605,4.642,27.247
drifting,22.656,4.661,27.318
drifting,22.575,4.640,27.215
drifting,34.181,4.710,38.891
drifting,25.335,4.690,30.025
drifting,23.495,4.764,28.259
drifting,25.374,4.702,30.076
drifting,23.587,4.650,28.237
drifting,23.515,4.630,28.145
drifting,23.652,4.598,28.250
drifting,23.946,4.651,28.598
drifting,28.266,8.166,36.433
drifting,24.744,5.361,30.105
drifting,27.685,6.854,34.538
drifting,23.500,4.697,28.197
drifting,26.836,4.947,31.783
drifting,26.988,4.816,31.805
drifting,26.125,4.912,31.037
drifting,24.526,4.724,29.249
drifting,24.191,4.694,28.885
drifting,25.141,4.844,29.985
drifting,24.894,5.226,30.120
drifting,24.506,4.730,29.236
drifting,23.961,5.053,29.014
drifting,23.117,5.044,28.161
drifting,28.847,4.830,33.677
drifting,23.604,4.829,28.433
drifting,23.475,4.618,28.093
drifting,25.437,4.831,30.267
drifting,23.910,4.756,28.667
drifting,23.886,4.725,28.611
drifting,23.731,4.675,28.406
drifting,23.920,4.654,28.574
drifting,27.885,4.807,32.692
drifting,24.112,4.812,28.924
drifting,24.955,5.533,30.488
drifting,23.455,4.717,28.172
drifting,23.644,4.721,28.365
drifting,27.615,4.741,32.356
drifting,23.552,4.702,28.254
drifting,23.534,4.711,28.245
drifting,23.548,4.720,28.268
drifting,23.490,4.655,28.144
drifting,23.481,4.682,28.163
drifting,23.726,4.666,28.393
drifting,23.474,4.676,28.149
drifting,23.573,4.642,28.215
drifting,23.462,4.611,28.073
drifting,35.259,5.373,40.632
drifting,23.466,5.000,28.466
drifting,23.982,4.758,28.740
drifting,23.415,4.804,28.219
drifting,23.521,4.629,28.150
drifting,23.456,4.668,28.124
drifting,25.732,4.995,30.728
drifting,23.548,4.688,28.236
drifting,23.536,4.697,28.233
drifting,23.636,4.766,28.402
drifting,23.612,4.691,28.302
drifting,24.078,4.784,28.862
drifting,23.549,4.709,28.257
drifting,23.457,4.715,28.172
drifting,23.462,4.686,28.148
drifting,23.676,4.978,28.654
drifting,23.573,4.676,28.249
drifting,26.716,4.867,31.583
drifting,23.534,4.772,28.306
drifting,23.526,4.767,28.293
drifting,23.898,5.153,29.051
drifting,23.626,4.669,28.295
drifting,23.419,4.856,28.275
drifting,23.548,5.026,28.574
drifting,23.481,4.668,28.149
drifting,23.560,4.696,28.256
drifting,23.514,4.684,28.198
drifting,24.793,4.833,29.626
drifting,23.527,5.039,28.566
drifting,23.741,4.657,28.398
drifting,23.684,4.706,28.390
drifting,23.608,4.869,28.477
drifting,23.513,4.660,28.172
drifting,23.774,4.739,28.514
drifting,24.766,4.766,29.532
drifting,23.482,4.777,28.259
drifting,23.618,4.717,28.335
drifting,23.514,4.960,28.474
drifting,23.527,4.715,28.242
drifting,23.536,4.755,28.291
drifting,25.733,5.296,31.029
drifting,23.465,4.687,28.152
drifting,27.215,4.852,32.067
drifting,23.509,4.697,28.206
drifting,23.566,4.681,28.247
drifting,23.537,4.740,28.278
drifting,23.491,4.753,28.244
drifting,23.588,4.769,28.357
drifting,23.878,4.681,28.558
drifting,23.510,4.659,28.169
drifting,23.510,4.685,28.195
drifting,23.482,4.766,28.247
drifting,23.520,4.689,28.209
drifting,23.513,4.763,28.276
drifting,23.519,4.706,28.226
drifting,23.491,4.712,28.204
drifting,23.501,4.778,28.280
drifting,23.559,4.680,28.239
drifting,23.622,4.675,28.297
drifting,23.527,4.714,28.241
drifting,23.548,4.662,28.210
drifting,23.755,4.731,28.486
drifting,23.481,4.731,28.212
drifting,23.515,4.661,28.176
drifting,24.212,4.701,28.913
drifting,24.187,4.831,29.017
drifting,23.489,4.693,28.181
drifting,25.067,4.712,29.778
drifting,23.440,4.662,28.102
drifting,23.671,4.822,28.493
drifting,23.684,4.925,28.609
drifting,23.492,4.687,28.179
drifting,23.479,4.756,28.235
drifting,23.510,4.683,28.193
drifting,23.479,4.942,28.421
drifting,28.450,6.792,35.242
drifting,23.995,4.656,28.651
drifting,23.510,4.635,28.145
drifting,23.518,4.697,28.215
drifting,24.003,4.678,28.681
drifting,26.076,4.849,30.926
drifting,23.604,4.699,28.304
drifting,23.578,8.019,31.597
drifting,23.522,4.664,28.186
drifting,23.457,4.648,28.104
drifting,23.552,4.703,28.255
drifting,23.549,4.669,28.218
drifting,23.466,4.685,28.151
drifting,23.687,5.124,28.811
drifting,23.524,4.664,28.189
drifting,23.677,4.656,28.333
drifting,23.586,4.715,28.300
drifting,28.774,4.653,33.427
drifting,23.033,4.708,27.740
drifting,22.591,4.649,27.241
drifting,22.706,4.647,27.353
drifting,23.715,4.718,28.433
drifting,29.678,5.684,35.362
drifting,23.568,4.754,28.322
drifting,23.533,4.685,28.218
drifting,26.202,5.804,32.006
drifting,23.855,4.869,28.725
drifting,23.561,4.723,28.285
drifting,23.568,4.799,28.368
drifting,23.688,4.761,28.449
drifting,24.080,4.685,28.764
drifting,23.508,4.812,28.320
drifting,23.578,4.779,28.357
drifting,23.701,4.797,28.499
drifting,23.600,4.739,28.339
drifting,23.641,4.664,28.305
drifting,23.486,4.695,28.181
drifting,23.636,4.687,28.322
drifting,23.569,4.735,28.303
drifting,23.606,4.736,28.342
drifting,23.617,4.725,28.341
drifting,23.579,4.704,28.283
drifting,23.587,4.671,28.259
drifting,23.547,4.699,28.246
drifting,22.738,4.722,27.459
drifting,22.606,4.668,27.274
drifting,22.744,4.671,27.414
drifting,23.524,4.678,28.202
drifting,23.571,4.716,28.287
drifting,23.443,4.697,28.140
drifting,24.376,4.800,29.177
drifting,23.518,4.694,28.212
drifting,23.759,4.816,28.575
drifting,23.608,4.800,28.407
drifting,23.537,4.689,28.227
drifting,23.958,4.715,28.673
drifting,23.657,4.831,28.488
drifting,23.963,4.839,28.802
drifting,22.738,4.862,27.600
drifting,22.883,4.905,27.788
drifting,23.602,4.769,28.370
drifting,23.949,4.798,28.747
drifting,23.655,4.801,28.456
drifting,23.530,4.659,28.189
drifting,23.582,4.695,28.277
drifting,27.223,4.646,31.869
drifting,23.533,4.686,28.220
drifting,24.389,4.664,29.053
drifting,23.616,4.672,28.288
drifting,23.782,4.653,28.435
drifting,23.515,4.665,28.180
drifting,22.657,4.673,27.330
drifting,22.732,4.649,27.381
drifting,23.659,4.732,28.391
drifting,23.833,4.734,28.567
drifting,23.509,4.698,28.207
drifting,23.535,4.685,28.220
drifting,23.657,4.702,28.359
drifting,23.585,4.723,28.308
drifting,23.555,4.696,28.251
drifting,23.620,4.680,28.300
drifting,23.608,4.711,28.319
drifting,25.121,5.148,30.269
drifting,25.377,4.583,29.960
drifting,23.699,4.730,28.429
drifting,26.981,6.325,33.306
drifting,25.601,4.755,30.356
drifting,25.334,4.760,30.094
drifting,23.833,4.709,28.541
drifting,23.528,4.863,28.391
drifting,25.704,4.729,30.432
drifting,24.097,5.094,29.191
drifting,25.253,4.821,30.074
drifting,27.506,4.754,32.259
drifting,23.611,4.715,28.327
drifting,26.969,4.572,31.541
drifting,23.532,4.595,28.127
drifting,23.647,4.603,28.251
drifting,23.557,4.540,28.097
drifting,23.653,4.720,28.373
drifting,23.752,4.757,28.509
drifting,23.559,4.526,28.085
drifting,23.507,4.574,28.082
drifting,23.541,4.871,28.412
drifting,23.674,4.687,28.362
drifting,25.302,5.364,30.665
drifting,24.605,4.630,29.234
