model,backbone_ms,action_head_ms,total_ms
groot,293.606,62.435,356.041
groot,23.437,45.236,68.673
groot,23.594,45.205,68.799
groot,23.445,45.242,68.686
groot,23.459,45.192,68.651
groot,23.468,45.233,68.701
groot,23.431,45.214,68.645
groot,23.452,45.210,68.662
groot,23.413,47.904,71.318
groot,23.713,45.258,68.971
groot,23.356,45.181,68.537
groot,23.462,45.209,68.670
groot,23.474,45.320,68.793
groot,23.665,45.236,68.902
groot,27.088,49.390,76.478
groot,23.409,45.175,68.584
groot,23.535,45.184,68.719
groot,23.604,45.196,68.800
groot,23.468,45.213,68.681
groot,23.564,45.255,68.819
groot,22.652,43.441,66.092
groot,26.662,43.589,70.251
groot,22.594,43.429,66.023
groot,23.459,45.183,68.641
groot,26.815,47.067,73.882
groot,23.475,45.228,68.703
groot,23.472,45.224,68.695
groot,23.747,45.211,68.957
groot,23.464,45.244,68.708
groot,26.500,49.678,76.178
groot,23.413,45.296,68.709
groot,23.467,46.347,69.814
groot,23.470,45.281,68.751
groot,23.574,45.196,68.769
groot,23.482,46.541,70.023
groot,23.464,45.301,68.765
groot,23.396,45.170,68.566
groot,23.421,45.165,68.586
groot,22.759,43.774,66.532
groot,22.681,43.752,66.434
groot,23.405,45.244,68.649
groot,23.498,45.211,68.709
groot,23.652,45.236,68.888
groot,23.581,45.280,68.861
groot,23.439,46.187,69.627
groot,23.473,45.227,68.700
groot,23.408,45.158,68.566
groot,27.546,45.166,72.712
groot,22.586,43.463,66.049
groot,22.549,43.414,65.964
groot,23.375,45.218,68.594
groot,23.447,45.197,68.645
groot,23.420,45.234,68.655
groot,23.454,45.309,68.764
groot,23.420,45.145,68.565
groot,23.401,45.208,68.609
groot,23.596,45.285,68.881
groot,23.476,45.162,68.638
groot,23.975,45.202,69.178
groot,23.461,45.200,68.661
groot,23.573,45.266,68.839
groot,23.861,43.438,67.299
groot,26.420,43.546,69.966
groot,22.534,43.439,65.973
groot,23.453,45.235,68.688
groot,23.438,45.234,68.672
groot,23.456,45.253,68.709
groot,23.921,50.703,74.624
groot,23.474,45.175,68.649
groot,23.363,45.188,68.551
groot,23.419,45.211,68.630
groot,23.516,45.221,68.736
groot,23.391,45.206,68.597
groot,23.512,54.186,77.697
groot,23.414,45.194,68.608
groot,23.575,45.240,68.815
groot,26.204,50.751,76.955
groot,23.447,45.225,68.672
groot,23.782,49.489,73.271
groot,23.444,45.224,68.668
groot,23.455,45.194,68.649
groot,23.428,49.391,72.819
groot,23.419,45.206,68.625
groot,24.716,45.227,69.943
groot,23.614,45.249,68.864
groot,31.089,45.185,76.274
groot,23.603,45.250,68.853
groot,23.450,45.195,68.645
groot,23.399,45.239,68.637
groot,23.444,45.255,68.699
groot,23.438,45.213,68.651
groot,24.568,45.307,69.875
groot,23.538,45.221,68.759
groot,23.421,45.274,68.695
groot,23.427,45.198,68.626
groot,23.411,45.257,68.668
groot,23.474,45.226,68.700
groot,23.418,45.228,68.645
groot,23.519,45.213,68.732
