model,backbone_ms,action_head_ms,total_ms
drif_ov,182.707,14.753,197.461
drif_ov,23.490,4.806,28.296
drif_ov,23.433,4.728,28.161
drif_ov,24.191,4.798,28.989
drif_ov,23.436,4.666,28.102
drif_ov,23.556,4.811,28.366
drif_ov,23.571,4.730,28.301
drif_ov,23.467,4.779,28.246
drif_ov,24.297,4.833,29.130
drif_ov,23.708,4.642,28.350
drif_ov,23.430,4.676,28.106
drif_ov,23.454,5.159,28.612
drif_ov,23.426,4.671,28.097
drif_ov,23.620,4.699,28.319
drif_ov,23.446,4.936,28.382
drif_ov,23.410,4.731,28.142
drif_ov,23.470,4.657,28.128
drif_ov,23.525,4.721,28.246
drif_ov,23.686,4.811,28.497
drif_ov,23.620,4.775,28.396
drif_ov,24.925,4.720,29.645
drif_ov,23.466,4.697,28.164
drif_ov,23.701,4.810,28.511
drif_ov,23.532,4.752,28.284
drif_ov,23.445,4.878,28.323
drif_ov,23.648,4.726,28.374
drif_ov,23.466,4.712,28.178
drif_ov,23.489,4.825,28.314
drif_ov,23.574,4.693,28.266
drif_ov,23.377,4.710,28.087
drif_ov,23.482,4.708,28.190
drif_ov,23.435,4.726,28.161
drif_ov,23.483,4.700,28.183
drif_ov,23.586,4.850,28.436
drif_ov,23.466,4.811,28.277
drif_ov,23.471,4.837,28.308
drif_ov,23.436,4.822,28.258
drif_ov,23.477,4.945,28.422
drif_ov,23.432,4.811,28.242
drif_ov,23.471,4.832,28.302
drif_ov,23.401,4.768,28.169
drif_ov,23.459,4.826,28.285
drif_ov,23.418,4.817,28.235
drif_ov,23.454,4.836,28.291
drif_ov,23.495,4.948,28.442
drif_ov,23.415,4.883,28.297
drif_ov,23.481,4.775,28.257
drif_ov,23.484,4.783,28.267
drif_ov,23.412,4.788,28.201
drif_ov,23.466,5.086,28.552
drif_ov,23.516,4.808,28.324
drif_ov,23.470,4.798,28.268
drif_ov,23.441,4.826,28.267
drif_ov,23.561,4.803,28.364
drif_ov,23.452,4.782,28.234
drif_ov,23.445,4.760,28.204
drif_ov,23.440,4.837,28.277
drif_ov,23.848,4.735,28.584
drif_ov,23.883,4.729,28.612
drif_ov,25.493,4.822,30.315
drif_ov,23.542,4.820,28.362
drif_ov,23.437,4.810,28.247
drif_ov,23.465,4.873,28.338
drif_ov,23.355,4.808,28.164
drif_ov,23.389,4.808,28.196
drif_ov,23.508,4.800,28.308
drif_ov,23.410,4.785,28.194
drif_ov,23.521,4.785,28.306
drif_ov,23.441,4.813,28.254
drif_ov,23.416,4.813,28.229
drif_ov,23.475,4.789,28.263
drif_ov,23.525,4.798,28.322
drif_ov,23.499,4.771,28.269
drif_ov,23.434,4.775,28.209
drif_ov,23.464,4.837,28.301
drif_ov,23.602,4.858,28.460
drif_ov,23.501,4.792,28.293
drif_ov,23.436,4.797,28.233
drif_ov,23.663,4.811,28.474
drif_ov,24.193,4.789,28.982
drif_ov,23.415,4.813,28.227
drif_ov,23.492,4.803,28.294
drif_ov,23.501,4.888,28.389
drif_ov,23.561,4.874,28.435
drif_ov,23.472,4.825,28.297
drif_ov,23.531,4.817,28.348
drif_ov,23.536,4.919,28.456
drif_ov,23.521,4.753,28.274
drif_ov,23.530,4.850,28.381
drif_ov,24.021,4.880,28.901
drif_ov,23.555,4.833,28.388
drif_ov,23.488,4.821,28.309
drif_ov,23.534,4.803,28.337
drif_ov,23.456,4.807,28.262
drif_ov,23.574,4.989,28.562
drif_ov,23.496,4.827,28.323
drif_ov,23.431,4.788,28.219
drif_ov,23.460,4.775,28.235
drif_ov,23.448,4.787,28.235
drif_ov,23.546,4.991,28.537
drif_ov,23.456,4.792,28.247
drif_ov,23.453,4.799,28.252
drif_ov,23.500,4.774,28.274
drif_ov,23.590,4.817,28.407
drif_ov,23.488,4.838,28.326
drif_ov,23.559,4.802,28.362
drif_ov,25.036,5.052,30.087
drif_ov,23.496,4.813,28.309
drif_ov,23.436,4.882,28.318
