model,backbone_ms,action_head_ms,total_ms
drifting,218.346,14.707,233.053
drifting,23.736,5.046,28.782
drifting,27.733,5.679,33.412
drifting,28.436,5.486,33.922
drifting,24.565,4.769,29.334
drifting,23.930,4.903,28.834
drifting,23.778,4.885,28.663
drifting,23.837,4.897,28.734
drifting,23.834,4.787,28.621
drifting,23.709,4.763,28.472
drifting,23.808,4.747,28.556
drifting,23.864,4.772,28.635
drifting,23.845,4.864,28.709
drifting,23.724,4.770,28.494
drifting,23.879,4.765,28.645
drifting,23.649,4.735,28.384
drifting,23.779,4.747,28.526
drifting,23.832,4.777,28.609
drifting,23.746,4.788,28.534
drifting,23.751,4.933,28.684
drifting,26.416,4.923,31.339
drifting,24.059,4.967,29.025
drifting,23.706,4.996,28.701
drifting,23.848,4.965,28.813
drifting,24.606,4.860,29.465
drifting,23.721,4.882,28.603
drifting,23.726,4.982,28.708
drifting,23.683,4.864,28.546
drifting,23.722,5.086,28.808
drifting,23.692,4.922,28.614
drifting,23.929,4.990,28.919
drifting,23.725,4.880,28.605
drifting,23.654,4.912,28.566
drifting,23.761,4.905,28.666
drifting,23.646,4.895,28.542
drifting,23.653,4.872,28.525
drifting,24.542,4.945,29.487
drifting,23.883,4.933,28.816
drifting,26.196,4.913,31.109
drifting,23.850,4.924,28.773
drifting,23.645,4.893,28.538
drifting,23.771,4.870,28.641
drifting,23.599,4.891,28.490
drifting,23.737,4.903,28.640
drifting,23.777,4.894,28.671
drifting,24.074,5.123,29.197
drifting,23.868,4.890,28.758
drifting,24.245,4.937,29.182
drifting,23.867,5.130,28.996
drifting,23.801,4.888,28.689
drifting,23.884,4.955,28.838
drifting,23.726,4.869,28.595
drifting,27.733,5.504,33.237
drifting,28.250,5.471,33.721
drifting,23.879,4.911,28.789
drifting,25.726,4.894,30.620
drifting,30.512,7.244,37.756
drifting,23.765,5.110,28.876
drifting,23.676,4.851,28.527
drifting,23.705,4.879,28.584
drifting,23.525,5.036,28.561
drifting,25.752,5.235,30.987
drifting,26.050,5.548,31.598
drifting,23.524,5.111,28.636
