model,backbone_ms,action_head_ms,total_ms
groot,336.810,57.062,393.872
groot,23.744,44.884,68.627
groot,23.693,44.896,68.590
groot,23.604,44.856,68.461
groot,23.698,47.540,71.239
groot,25.443,44.795,70.238
groot,23.667,44.823,68.490
groot,23.662,44.885,68.547
groot,24.328,44.864,69.191
groot,23.576,44.820,68.396
groot,23.589,44.856,68.445
groot,23.642,46.341,69.984
groot,23.654,44.852,68.506
groot,23.627,44.819,68.446
groot,23.631,44.845,68.476
groot,23.648,44.889,68.537
groot,23.812,44.864,68.675
groot,23.643,44.820,68.463
groot,23.579,47.477,71.056
groot,23.910,51.609,75.519
groot,23.705,44.866,68.571
groot,23.614,44.874,68.488
groot,23.610,47.676,71.286
groot,23.252,43.930,67.181
groot,23.130,44.878,68.007
groot,23.642,44.884,68.526
groot,23.646,44.843,68.489
groot,23.548,44.859,68.407
groot,23.551,44.859,68.410
groot,23.634,44.831,68.465
groot,23.614,44.854,68.468
groot,23.784,45.146,68.930
groot,23.585,46.082,69.667
groot,23.599,45.086,68.684
groot,23.789,45.118,68.907
groot,23.612,45.169,68.781
groot,23.855,45.143,68.998
groot,24.201,45.768,69.970
groot,23.745,47.829,71.574
groot,23.549,45.148,68.696
groot,25.255,45.140,70.395
groot,24.375,47.859,72.234
groot,23.646,45.162,68.808
groot,26.617,44.890,71.508
groot,23.576,45.119,68.695
groot,25.146,45.107,70.253
groot,24.221,45.168,69.389
groot,23.932,45.208,69.140
groot,23.575,45.179,68.755
groot,23.822,45.245,69.067
groot,23.655,45.151,68.807
groot,23.598,45.138,68.736
groot,23.774,45.318,69.092
groot,23.846,45.162,69.008
groot,23.604,45.128,68.732
groot,23.741,45.184,68.925
groot,23.629,45.134,68.762
groot,23.682,45.215,68.897
groot,23.687,45.130,68.818
groot,23.561,48.864,72.425
groot,23.613,45.149,68.762
groot,23.627,45.200,68.828
groot,23.709,45.181,68.890
groot,23.624,45.143,68.767
groot,23.592,45.159,68.751
groot,23.809,45.303,69.112
groot,23.722,45.206,68.928
groot,23.670,45.191,68.861
groot,23.740,45.207,68.946
groot,24.553,45.141,69.694
groot,23.842,46.169,70.011
groot,23.644,45.194,68.839
groot,23.646,52.645,76.291
groot,23.828,45.157,68.985
groot,23.923,45.145,69.068
groot,25.532,45.253,70.784
groot,25.051,45.144,70.195
groot,23.703,47.687,71.390
groot,23.586,45.210,68.795
groot,23.705,45.199,68.904
groot,23.816,45.189,69.006
groot,23.657,45.199,68.856
groot,23.643,45.166,68.809
groot,23.677,45.179,68.856
groot,23.714,45.191,68.905
groot,25.124,45.182,70.306
groot,23.654,45.121,68.775
groot,23.670,45.178,68.848
groot,23.756,45.206,68.963
groot,23.766,45.148,68.914
groot,23.697,46.131,69.827
groot,23.755,46.244,69.999
