model,backbone_ms,action_head_ms,total_ms
drifting,196.210,14.858,211.069
drifting,23.649,4.866,28.515
drifting,23.749,4.880,28.629
drifting,23.719,4.878,28.597
drifting,23.706,4.922,28.628
drifting,23.563,4.814,28.377
drifting,23.724,4.863,28.587
drifting,23.730,4.871,28.601
drifting,28.236,4.890,33.126
drifting,23.690,4.845,28.536
drifting,23.801,5.013,28.814
drifting,23.836,4.884,28.719
drifting,23.887,4.938,28.825
drifting,23.733,4.827,28.560
drifting,26.968,4.802,31.770
drifting,23.771,4.842,28.613
drifting,27.750,4.993,32.742
drifting,23.845,4.920,28.766
drifting,23.648,4.873,28.521
drifting,23.764,4.869,28.633
drifting,23.639,4.851,28.490
drifting,23.654,4.822,28.476
drifting,23.857,4.868,28.725
drifting,27.958,8.473,36.431
drifting,23.645,4.836,28.481
drifting,23.630,4.846,28.475
drifting,23.837,4.842,28.679
drifting,23.742,4.816,28.558
drifting,23.943,4.906,28.849
drifting,23.661,4.849,28.510
drifting,23.715,4.969,28.685
drifting,23.633,4.997,28.630
drifting,23.731,4.958,28.689
drifting,23.726,4.906,28.632
drifting,23.663,4.917,28.580
drifting,23.688,4.860,28.548
drifting,23.718,4.885,28.603
drifting,23.884,4.866,28.750
drifting,27.240,5.032,32.272
drifting,23.621,4.826,28.447
drifting,23.642,4.835,28.477
drifting,23.743,4.894,28.636
drifting,30.593,4.886,35.478
drifting,23.692,4.974,28.666
drifting,23.683,4.880,28.563
drifting,23.720,4.845,28.565
drifting,23.651,4.876,28.527
drifting,23.689,4.808,28.497
drifting,23.706,4.887,28.593
drifting,23.837,4.882,28.719
drifting,25.341,5.082,30.424
drifting,23.701,4.843,28.543
drifting,23.603,4.862,28.466
drifting,23.718,4.869,28.587
drifting,23.723,4.868,28.592
drifting,26.664,4.863,31.527
drifting,23.890,5.601,29.491
drifting,23.767,4.859,28.626
drifting,24.245,4.855,29.101
drifting,26.699,4.861,31.560
drifting,23.705,4.844,28.550
drifting,23.695,4.858,28.554
drifting,23.837,4.852,28.689
drifting,23.641,4.847,28.488
drifting,34.602,4.918,39.520
drifting,23.754,4.876,28.630
drifting,23.821,4.840,28.661
drifting,23.613,4.890,28.503
drifting,23.781,4.975,28.756
drifting,23.975,4.817,28.792
drifting,23.710,4.836,28.546
drifting,23.862,4.996,28.858
drifting,23.766,4.890,28.656
drifting,23.798,4.905,28.704
drifting,23.707,4.853,28.560
drifting,23.747,4.883,28.630
drifting,23.758,4.843,28.601
drifting,23.989,4.977,28.966
drifting,23.626,4.845,28.470
drifting,23.717,4.854,28.571
drifting,23.737,4.847,28.584
drifting,23.744,4.893,28.637
drifting,23.895,4.919,28.814
drifting,24.426,5.053,29.479
drifting,23.717,4.852,28.569
drifting,27.580,4.886,32.465
drifting,24.051,4.815,28.866
drifting,23.757,4.903,28.660
drifting,23.637,4.852,28.489
drifting,23.735,4.872,28.608
drifting,25.130,4.965,30.095
drifting,23.789,4.910,28.699
drifting,23.714,4.840,28.554
drifting,23.673,4.866,28.538
drifting,23.775,4.890,28.665
