model,backbone_ms,action_head_ms,total_ms
groot,298.934,57.024,355.958
groot,23.553,45.063,68.617
groot,27.237,46.206,73.444
groot,23.647,45.227,68.873
groot,26.149,51.195,77.344
groot,26.522,51.042,77.564
groot,26.671,49.581,76.252
groot,22.961,43.427,66.387
groot,23.480,45.159,68.639
groot,23.544,45.133,68.678
groot,24.175,45.124,69.299
groot,23.506,45.145,68.652
groot,23.474,46.681,70.155
groot,24.992,45.110,70.102
groot,23.522,46.072,69.594
groot,23.702,45.158,68.860
groot,23.612,45.223,68.835
groot,23.664,45.130,68.794
groot,23.826,45.044,68.869
groot,23.494,45.161,68.655
groot,23.592,45.178,68.770
groot,24.423,45.414,69.836
groot,23.541,45.052,68.593
groot,23.561,45.120,68.681
groot,23.759,45.103,68.863
groot,24.761,45.093,69.854
groot,24.703,45.091,69.794
groot,23.647,45.116,68.763
groot,23.856,45.131,68.987
groot,25.058,46.212,71.270
groot,23.491,51.066,74.557
groot,27.894,52.869,80.763
groot,26.563,50.896,77.460
groot,23.093,43.335,66.428
groot,22.887,43.283,66.170
groot,27.965,53.197,81.162
groot,25.911,50.952,76.863
groot,22.840,48.675,71.515
groot,27.834,50.770,78.604
groot,26.520,50.206,76.726
groot,26.412,51.002,77.414
groot,23.524,45.114,68.638
groot,23.689,45.113,68.801
groot,23.767,45.174,68.942
groot,23.571,45.114,68.686
groot,23.536,45.077,68.613
groot,26.684,48.199,74.883
groot,23.780,45.175,68.955
groot,23.555,51.641,75.195
groot,23.459,45.114,68.573
groot,27.508,50.990,78.498
groot,26.529,49.184,75.713
groot,23.555,45.091,68.646
groot,23.601,45.124,68.725
groot,23.506,45.066,68.572
groot,23.547,45.122,68.669
groot,23.489,46.088,69.576
groot,23.538,45.087,68.626
groot,23.512,45.133,68.645
groot,23.501,45.125,68.626
groot,23.604,47.269,70.873
groot,26.893,45.098,71.991
groot,23.572,45.072,68.644
groot,23.560,45.128,68.688
groot,23.527,45.104,68.631
groot,23.584,45.140,68.724
groot,23.518,45.049,68.567
groot,23.596,45.150,68.746
groot,23.637,45.170,68.807
groot,23.527,45.078,68.605
groot,23.655,44.928,68.583
groot,23.756,45.173,68.929
groot,23.647,45.174,68.821
groot,23.685,45.087,68.772
groot,23.793,46.217,70.010
groot,23.734,45.169,68.903
groot,23.642,45.102,68.744
